Cell	Phase	Subpopulation
SRR13906290.bam	G1	2
SRR13906291.bam	G1	1
SRR13906292.bam	G1	1
SRR13906293.bam	G1	1
SRR13906294.bam	G1	2
SRR13906295.bam	G1	1
SRR13906296.bam	G1	3
SRR13906297.bam	G1	1
SRR13906298.bam	G1	3
SRR13906299.bam	G1	2
SRR13906300.bam	G1	1
SRR13906301.bam	G1	1
SRR13906302.bam	G1	1
SRR13906303.bam	G1	1
SRR13906304.bam	G1	1
SRR13906305.bam	G1	1
SRR13906306.bam	G1	3
SRR13906307.bam	G1	3
SRR13906308.bam	G1	1
SRR13906309.bam	G1	1
SRR13906310.bam	G1	1
SRR13906311.bam	S	1
SRR13906312.bam	G1	1
SRR13906313.bam	G1	2
SRR13906314.bam	S	2
SRR13906315.bam	G1	1
SRR13906316.bam	G1	1
SRR13906317.bam	G1	3
SRR13906318.bam	G1	2
SRR13906319.bam	G1	1
SRR13906320.bam	G1	2
SRR13906321.bam	G1	1
SRR13906322.bam	G1	1
SRR13906323.bam	G1	1
SRR13906324.bam	S	2
SRR13906325.bam	G1	1
SRR13906326.bam	G1	1
SRR13906327.bam	G1	3
SRR13906328.bam	G1	1
SRR13906329.bam	G1	1
SRR13906330.bam	S	2
SRR13906331.bam	G1	1
SRR13906332.bam	G1	1
SRR13906333.bam	G1	1
SRR13906334.bam	G1	3
SRR13906335.bam	G1	2
SRR13906337.bam	G1	3
SRR13906338.bam	G1	1
SRR13906339.bam	G1	1
SRR13906340.bam	G1	1
SRR13906342.bam	G1	2
SRR13906343.bam	G1	1
SRR13906344.bam	G1	1
SRR13906345.bam	G1	2
SRR13906346.bam	G1	2
SRR13906347.bam	S	3
SRR13906348.bam	G1	3
SRR13906349.bam	G1	1
SRR13906350.bam	G1	1
SRR13906351.bam	G1	1
SRR13906352.bam	G1	1
SRR13906353.bam	G1	1
SRR13906354.bam	G1	1
SRR13906355.bam	G1	1
SRR13906357.bam	G1	1
SRR13906358.bam	G1	1
SRR13906359.bam	G1	1
SRR13906360.bam	G1	1
SRR13906361.bam	G1	1
SRR13906362.bam	G1	1
SRR13906364.bam	G1	1
SRR13906365.bam	G1	1
SRR13906366.bam	G1	2
SRR13906367.bam	G1	1
SRR13906368.bam	G1	1
SRR13906369.bam	G1	1
SRR13906370.bam	G1	1
SRR13906371.bam	G1	2
SRR13906372.bam	G1	1
SRR13906373.bam	G1	2
SRR13906374.bam	G1	1
SRR13906375.bam	G1	3
SRR13906376.bam	G1	2
SRR13906378.bam	G1	2
SRR13906379.bam	G1	1
SRR13906380.bam	G1	1
SRR13906382.bam	G1	1
SRR13906383.bam	G1	1
SRR13906384.bam	G1	1
SRR13906385.bam	G1	1
SRR13906386.bam	G1	3
SRR13906387.bam	G1	1
SRR13906388.bam	G1	2
SRR13906389.bam	G1	1
SRR13906390.bam	G1	3
SRR13906391.bam	G1	2
SRR13906392.bam	G1	3
SRR13906393.bam	G1	1
SRR13906394.bam	G1	2
SRR13906395.bam	G1	1
SRR13906396.bam	G1	1
SRR13906397.bam	G1	1
SRR13906398.bam	G1	2
SRR13906399.bam	G1	3
SRR13906400.bam	G1	1
SRR13906401.bam	G1	3
SRR13906402.bam	G1	2
