Cell	Phase
SA1087-A96150A-R12-C29.bam	G1
SA1087-A96150A-R12-C30.bam	S
SA1087-A96150A-R12-C31.bam	S
SA1087-A96150A-R12-C32.bam	S
SA1087-A96150A-R12-C33.bam	G1
SA1087-A96150A-R12-C34.bam	G1
SA1087-A96150A-R12-C35.bam	G1
SA1087-A96150A-R12-C36.bam	S
SA1087-A96150A-R12-C37.bam	G1
SA1087-A96150A-R12-C39.bam	G1
SA1087-A96150A-R12-C41.bam	G1
SA1087-A96150A-R12-C42.bam	G1
SA1087-A96150A-R12-C43.bam	G1
SA1087-A96150A-R12-C44.bam	G1
SA1087-A96150A-R12-C46.bam	G1
SA1087-A96150A-R12-C47.bam	G1
SA1087-A96150A-R12-C49.bam	G1
SA1087-A96150A-R12-C50.bam	G1
SA1087-A96150A-R12-C51.bam	G1
SA1087-A96150A-R12-C52.bam	G1
SA1087-A96150A-R12-C54.bam	G1
SA1087-A96150A-R12-C55.bam	G1
SA1087-A96150A-R12-C56.bam	G1
SA1087-A96150A-R12-C57.bam	S
SA1087-A96150A-R12-C58.bam	G1
SA1087-A96150A-R12-C59.bam	G1
SA1087-A96150A-R12-C60.bam	G1
SA1087-A96150A-R12-C61.bam	G1
SA1087-A96150A-R12-C63.bam	S
SA1087-A96150A-R12-C68.bam	G1
SA1087-A96150A-R12-C69.bam	G1
SA1087-A96150A-R12-C70.bam	G1
SA1087-A96150A-R13-C07.bam	S
SA1087-A96150A-R13-C08.bam	G1
SA1087-A96150A-R13-C12.bam	G1
SA1087-A96150A-R13-C13.bam	G1
SA1087-A96150A-R13-C14.bam	G1
SA1087-A96150A-R13-C15.bam	S
SA1087-A96150A-R13-C16.bam	G1
SA1087-A96150A-R13-C17.bam	S
SA1087-A96150A-R13-C18.bam	G1
SA1087-A96150A-R13-C19.bam	G1
SA1087-A96150A-R13-C20.bam	G1
SA1087-A96150A-R13-C21.bam	G1
SA1087-A96150A-R13-C22.bam	G1
SA1087-A96150A-R13-C23.bam	G1
SA1087-A96150A-R13-C24.bam	G1
SA1087-A96150A-R13-C25.bam	G1
SA1087-A96150A-R13-C26.bam	G1
SA1087-A96150A-R13-C28.bam	G1
SA1087-A96150A-R13-C29.bam	G1
SA1087-A96150A-R13-C30.bam	S
SA1087-A96150A-R13-C31.bam	G1
SA1087-A96150A-R13-C32.bam	G1
SA1087-A96150A-R13-C33.bam	G1
SA1087-A96150A-R13-C34.bam	G1
SA1087-A96150A-R13-C35.bam	S
SA1087-A96150A-R13-C36.bam	S
SA1087-A96150A-R13-C39.bam	G1
SA1087-A96150A-R13-C40.bam	G1
SA1087-A96150A-R13-C41.bam	G1
SA1087-A96150A-R13-C43.bam	G1
SA1087-A96150A-R13-C44.bam	G1
SA1087-A96150A-R13-C47.bam	S
SA1087-A96150A-R13-C48.bam	G1
SA1087-A96150A-R13-C49.bam	G1
