Cell	Subpopulation
SA039-A73047D-R59-C33	1
SA039-A73047D-R59-C36	1
SA039-A73047D-R59-C37	2
SA039-A73047D-R59-C42	2
SA039-A73047D-R59-C49	2
SA039-A73047D-R59-C50	1
SA039-A73047D-R59-C51	1
SA039-A73047D-R59-C56	1
SA039-A73047D-R59-C57	2
SA039-A73047D-R59-C58	1
SA039-A73047D-R59-C59	1
SA039-A73047D-R60-C08	1
SA039-A73047D-R60-C09	2
SA039-A73047D-R60-C11	1
SA039-A73047D-R60-C12	1
SA039-A73047D-R60-C19	1
SA039-A73047D-R60-C22	1
SA039-A73047D-R60-C29	1
SA039-A73047D-R60-C30	2
SA039-A73047D-R60-C31	2
SA039-A73047D-R60-C34	2
SA039-A73047D-R60-C36	1
SA039-A73047D-R60-C41	2
SA039-A73047D-R60-C45	2
SA039-A73047D-R60-C46	2
SA039-A73047D-R60-C49	1
SA039-A73047D-R60-C50	1
SA039-A73047D-R60-C52	2
SA039-A73047D-R60-C53	2
SA039-A73047D-R60-C57	1
SA039-A73047D-R60-C59	1
SA039-A73047D-R60-C62	1
SA039-A73047D-R61-C11	1
SA039-A73047D-R61-C16	1
SA039-A73047D-R61-C18	2
SA039-A73047D-R61-C23	2
SA039-A73047D-R61-C24	1
SA039-A73047D-R61-C26	2
SA039-A73047D-R61-C34	1
SA039-A73047D-R61-C42	1
SA039-A73047D-R61-C45	2
SA039-A73047D-R61-C46	2
SA039-A73047D-R61-C48	1
SA039-A73047D-R61-C50	1
SA039-A73047D-R61-C51	1
SA039-A73047D-R61-C54	2
SA039-A73047D-R61-C55	1
SA039-A73047D-R61-C58	2
SA039-A73047D-R61-C60	2
SA039-A73047D-R61-C61	1
SA039-A73047D-R61-C62	2
SA039-A73047D-R62-C07	1
SA039-A73047D-R62-C10	1
SA039-A73047D-R62-C11	1
SA039-A73047D-R62-C15	2
SA039-A73047D-R62-C23	1
SA039-A73047D-R62-C26	1
SA039-A73047D-R62-C28	1
SA039-A73047D-R62-C29	1
SA039-A73047D-R62-C30	1
SA039-A73047D-R62-C31	1
SA039-A73047D-R62-C33	1
SA039-A73047D-R62-C36	1
SA039-A73047D-R62-C37	1
SA039-A73047D-R62-C38	1
SA039-A73047D-R62-C39	1
SA039-A73047D-R62-C41	1
SA039-A73047D-R62-C42	2
SA039-A73047D-R62-C44	1
SA039-A73047D-R62-C45	2
SA039-A73047D-R62-C52	1
SA039-A73047D-R62-C54	2
SA039-A73047D-R62-C55	1
SA039-A73047D-R62-C58	2
SA039-A73047D-R63-C11	1
SA039-A73047D-R63-C12	1
SA039-A73047D-R63-C15	2
SA039-A73047D-R63-C22	1
SA039-A73047D-R63-C26	2
SA039-A73047D-R63-C27	2
SA039-A73047D-R63-C30	1
SA039-A73047D-R63-C32	1
SA039-A73047D-R63-C33	1
SA039-A73047D-R63-C37	2
SA039-A73047D-R63-C38	2
SA039-A73047D-R63-C47	2
SA039-A73047D-R63-C52	2
SA039-A73047D-R63-C55	1
SA039-A73047D-R63-C57	1
SA039-A73047D-R63-C60	2
