Cell	Phase	Subpopulation
SRR13909259.bam	S	1
SRR13909260.bam	S	1
SRR13909261.bam	S	1
SRR13909262.bam	S	1
SRR13909263.bam	G1	1
SRR13909264.bam	G1	2
SRR13909265.bam	G1	1
SRR13909266.bam	S	1
SRR13909268.bam	S	1
SRR13909271.bam	S	1
SRR13909272.bam	S	1
SRR13909273.bam	S	1
SRR13909274.bam	S	1
SRR13909275.bam	S	1
SRR13909276.bam	S	1
SRR13909277.bam	S	1
SRR13909278.bam	S	1
SRR13909279.bam	S	1
SRR13909280.bam	S	1
SRR13909282.bam	S	1
SRR13909283.bam	S	1
SRR13909284.bam	G1	1
SRR13909286.bam	G1	1
SRR13909287.bam	S	1
SRR13909288.bam	S	1
SRR13909289.bam	S	1
SRR13909290.bam	S	1
SRR13909291.bam	S	1
SRR13909292.bam	S	1
SRR13909293.bam	S	1
SRR13909294.bam	S	1
SRR13909296.bam	S	1
SRR13909297.bam	S	1
SRR13909299.bam	S	1
SRR13909300.bam	S	1
SRR13909302.bam	G1	1
SRR13909304.bam	S	1
SRR13909306.bam	S	1
SRR13909307.bam	S	1
SRR13909308.bam	G1	1
SRR13909309.bam	G1	1
SRR13909310.bam	S	1
SRR13909311.bam	S	1
SRR13909312.bam	S	1
SRR13909313.bam	S	1
SRR13909315.bam	S	1
SRR13909316.bam	S	1
SRR13909317.bam	S	1
SRR13909318.bam	S	1
SRR13909319.bam	G1	1
SRR13909320.bam	S	1
SRR13909322.bam	S	1
SRR13909324.bam	G1	1
SRR13909326.bam	S	1
SRR13909328.bam	G1	1
SRR13909329.bam	G1	1
SRR13909330.bam	S	1
SRR13909331.bam	S	1
SRR13909332.bam	S	1
SRR13909333.bam	S	1
SRR13909334.bam	S	1
SRR13909335.bam	S	1
SRR13909336.bam	S	1
SRR13909337.bam	S	1
SRR13909338.bam	S	1
SRR13909339.bam	S	1
SRR13909340.bam	G1	1
SRR13909341.bam	G1	1
SRR13909342.bam	S	1
SRR13909343.bam	S	1
SRR13909344.bam	G1	1
SRR13909345.bam	G1	1
SRR13909346.bam	G1	1
SRR13909348.bam	S	1
SRR13909350.bam	S	1
SRR13909351.bam	G1	1
SRR13909352.bam	S	1
SRR13909353.bam	S	1
SRR13909354.bam	S	1
SRR13909355.bam	S	1
SRR13909356.bam	S	1
SRR13909358.bam	S	1
SRR13909360.bam	S	1
SRR13909361.bam	S	1
SRR13909362.bam	S	1
SRR13909363.bam	S	1
SRR13909364.bam	S	1
SRR13909366.bam	G1	1
SRR13909368.bam	S	1
SRR13909370.bam	S	1
SRR13909371.bam	S	1
SRR13909372.bam	S	1
SRR13909373.bam	G1	1
SRR13909374.bam	S	1
SRR13909376.bam	G1	1
SRR13909377.bam	S	1
SRR13909378.bam	S	1
SRR13909379.bam	G1	1
SRR13909381.bam	S	1
SRR13909382.bam	G1	1
SRR13909385.bam	S	1
SRR13909386.bam	S	1
SRR13909387.bam	S	1
SRR13909388.bam	S	1
SRR13909389.bam	S	1
SRR13909390.bam	S	1
SRR13909391.bam	S	1
SRR13909392.bam	S	1
SRR13909394.bam	S	1
SRR13909395.bam	G1	1
SRR13909396.bam	S	1
SRR13909397.bam	S	1
SRR13909398.bam	S	1
SRR13909399.bam	S	1
SRR13909400.bam	S	1
SRR13909401.bam	S	1
SRR13909402.bam	G1	1
SRR13909404.bam	S	1
SRR13909405.bam	S	1
SRR13909406.bam	G1	1
SRR13909407.bam	S	1
SRR13909409.bam	G1	1
SRR13909411.bam	S	1
SRR13909412.bam	S	1
SRR13909413.bam	S	1
SRR13909414.bam	S	1
SRR13909417.bam	S	1
SRR13909418.bam	S	1
SRR13909419.bam	S	1
SRR13909420.bam	S	1
SRR13909421.bam	S	1
SRR13909422.bam	S	1
SRR13909423.bam	G1	1
SRR13909424.bam	S	1
SRR13909426.bam	S	1
SRR13909427.bam	S	1
SRR13909428.bam	S	1
SRR13909429.bam	G1	1
SRR13909430.bam	S	1
SRR13909431.bam	S	1
SRR13909432.bam	S	1
SRR13909433.bam	S	1
SRR13909434.bam	S	1
SRR13909436.bam	S	1
SRR13909438.bam	G1	1
SRR13909439.bam	S	1
SRR13909440.bam	S	1
SRR13909441.bam	S	1
SRR13909442.bam	G1	1
SRR13909443.bam	S	1
SRR13909444.bam	S	1
SRR13909445.bam	G1	1
SRR13909446.bam	G1	1
SRR13909448.bam	G1	1
SRR13909449.bam	S	1
SRR13909450.bam	S	1
SRR13909452.bam	S	1
SRR13909454.bam	S	1
SRR13909456.bam	S	1
SRR13909457.bam	S	1
SRR13909458.bam	S	1
SRR13909460.bam	S	1
SRR13909461.bam	S	1
SRR13909462.bam	S	1
SRR13909463.bam	G1	1
SRR13909465.bam	G1	1
SRR13909466.bam	S	1
SRR13909468.bam	S	1
SRR13909469.bam	S	1
SRR13909470.bam	G1	1
SRR13909471.bam	S	1
SRR13909472.bam	G1	1
SRR13909473.bam	S	1
SRR13909475.bam	G1	1
SRR13909476.bam	S	1
SRR13909477.bam	S	1
SRR13909478.bam	G1	1
SRR13909479.bam	G1	1
SRR13909480.bam	G1	1
SRR13909481.bam	S	1
SRR13909482.bam	G1	1
SRR13909483.bam	S	1
SRR13909484.bam	S	1
SRR13909486.bam	S	1
SRR13909488.bam	S	1
SRR13909489.bam	S	1
SRR13909490.bam	S	1
SRR13909491.bam	S	1
SRR13909492.bam	S	1
SRR13909493.bam	S	1
SRR13909494.bam	S	1
SRR13909495.bam	S	1
SRR13909496.bam	S	1
SRR13909497.bam	S	1
SRR13909498.bam	G1	1
SRR13909499.bam	S	1
SRR13909500.bam	S	1
SRR13909503.bam	G1	1
SRR13909504.bam	S	1
SRR13909505.bam	G1	1
SRR13909506.bam	G1	1
SRR13909507.bam	G1	1
SRR13909509.bam	S	1
SRR13909510.bam	S	1
SRR13909512.bam	G1	1
SRR13909513.bam	S	1
SRR13909514.bam	S	1
SRR13909516.bam	S	1
SRR13909517.bam	S	1
SRR13909518.bam	G1	1
SRR13909519.bam	S	1
SRR13909520.bam	S	1
SRR13909521.bam	S	1
SRR13909522.bam	G1	1
SRR13909523.bam	S	1
SRR13909524.bam	S	1
SRR13909525.bam	G1	1
SRR13909527.bam	G1	1
SRR13909528.bam	S	1
SRR13909530.bam	S	1
SRR13909532.bam	S	1
SRR13909533.bam	S	1
SRR13909534.bam	S	1
SRR13909535.bam	S	1
SRR13909537.bam	S	1
SRR13909538.bam	S	1
SRR13909539.bam	S	1
SRR13909541.bam	S	2
SRR13909542.bam	S	1
SRR13909543.bam	S	1
SRR13909544.bam	S	1
SRR13909545.bam	S	1
SRR13909546.bam	S	1
SRR13909547.bam	G1	1
SRR13909548.bam	S	1
SRR13909550.bam	S	1
SRR13909551.bam	S	1
SRR13909552.bam	G1	1
SRR13909553.bam	S	1
SRR13909554.bam	S	1
SRR13909555.bam	G1	1
SRR13909556.bam	S	1
SRR13909557.bam	S	1
SRR13909558.bam	S	1
SRR13909559.bam	S	1
SRR13909561.bam	S	1
SRR13909563.bam	G1	1
SRR13909564.bam	G1	1
SRR13909565.bam	S	1
SRR13909566.bam	G1	1
SRR13909567.bam	G1	1
SRR13909568.bam	S	1
SRR13909569.bam	S	1
SRR13909570.bam	S	1
SRR13909571.bam	S	1
SRR13909572.bam	S	1
SRR13909573.bam	S	1
SRR13909574.bam	S	1
SRR13909575.bam	S	1
SRR13909576.bam	S	1
SRR13909577.bam	S	1
SRR13909578.bam	G1	1
SRR13909579.bam	S	1
SRR13909580.bam	S	1
SRR13909581.bam	S	1
SRR13909582.bam	S	1
SRR13909584.bam	S	1
SRR13909585.bam	S	1
SRR13909586.bam	G1	1
SRR13909588.bam	S	1
SRR13909589.bam	S	1
SRR13909591.bam	S	1
SRR13909592.bam	S	1
SRR13909594.bam	S	1
SRR13909596.bam	G1	1
SRR13909598.bam	S	1
SRR13909599.bam	S	1
SRR13909601.bam	S	1
SRR13909602.bam	S	1
SRR13909604.bam	G1	1
SRR13909605.bam	S	1
SRR13909606.bam	S	1
SRR13909608.bam	S	1
SRR13909610.bam	S	1
SRR13909611.bam	S	1
SRR13909612.bam	S	1
SRR13909613.bam	S	1
SRR13909614.bam	S	1
SRR13909615.bam	S	1
SRR13909616.bam	S	1
SRR13909618.bam	G1	1
SRR13909622.bam	S	1
SRR13909623.bam	S	1
SRR13909624.bam	G1	1
SRR13909625.bam	S	1
SRR13909626.bam	S	1
SRR13909627.bam	S	1
SRR13909629.bam	S	1
SRR13909630.bam	S	1
SRR13909631.bam	S	1
SRR13909632.bam	G1	1
SRR13909633.bam	S	1
SRR13909634.bam	G1	1
SRR13909635.bam	G1	1
SRR13909636.bam	S	1
SRR13909637.bam	G1	1
SRR13909640.bam	S	1
SRR13909641.bam	S	1
