Cell	Phase	Subpopulation
SRR13902735.bam	G1	2
SRR13902736.bam	G1	1
SRR13902737.bam	G1	2
SRR13902738.bam	G1	2
SRR13902741.bam	G1	2
SRR13902742.bam	G1	3
SRR13902743.bam	G1	3
SRR13902744.bam	G1	2
SRR13902745.bam	G1	2
SRR13902747.bam	G1	1
SRR13902748.bam	G1	1
SRR13902749.bam	G1	2
SRR13902750.bam	G1	3
SRR13902751.bam	G1	1
SRR13902752.bam	G1	2
SRR13902754.bam	G1	1
SRR13902756.bam	G1	3
SRR13902758.bam	G1	1
SRR13902759.bam	G1	2
SRR13902760.bam	G1	2
SRR13902761.bam	G1	2
SRR13902762.bam	G1	2
SRR13902764.bam	G1	2
SRR13902766.bam	G1	2
SRR13902768.bam	G1	2
SRR13902769.bam	G1	2
SRR13902772.bam	G1	1
SRR13902773.bam	G1	2
SRR13902774.bam	G1	2
SRR13902775.bam	G1	2
SRR13902776.bam	G1	1
SRR13902777.bam	G1	3
SRR13902779.bam	G1	1
SRR13902781.bam	G1	1
SRR13902784.bam	G1	1
SRR13902785.bam	G1	2
SRR13902786.bam	G1	2
SRR13902787.bam	G1	1
SRR13902788.bam	G1	1
SRR13902791.bam	G1	1
SRR13902793.bam	G1	2
SRR13902794.bam	G1	2
SRR13902795.bam	G1	1
SRR13902796.bam	G1	1
SRR13902797.bam	G1	1
SRR13902798.bam	G1	1
SRR13902799.bam	G1	2
SRR13902800.bam	G1	1
SRR13902801.bam	G1	2
SRR13902802.bam	G1	3
SRR13902804.bam	G1	1
SRR13902805.bam	G1	3
SRR13902806.bam	G1	1
SRR13902807.bam	G1	2
SRR13902808.bam	G1	1
SRR13902809.bam	G1	1
SRR13902810.bam	G1	2
SRR13902811.bam	G1	1
SRR13902812.bam	G1	2
SRR13902813.bam	G1	2
SRR13902814.bam	G1	1
SRR13902815.bam	G1	2
SRR13902817.bam	G1	3
SRR13902818.bam	G1	3
SRR13902819.bam	G1	1
SRR13902820.bam	G1	1
SRR13902821.bam	G1	3
SRR13902822.bam	G1	3
SRR13902823.bam	G1	3
SRR13902824.bam	G1	3
SRR13902825.bam	G1	1
SRR13902826.bam	G1	3
SRR13902827.bam	G1	2
SRR13902828.bam	G1	1
SRR13902829.bam	G1	2
SRR13902831.bam	G1	1
SRR13902833.bam	G1	1
SRR13902834.bam	G1	3
SRR13902835.bam	G1	1
SRR13902836.bam	G1	2
SRR13902837.bam	G1	2
SRR13902838.bam	G1	2
SRR13902839.bam	G1	2
SRR13902840.bam	G1	2
SRR13902841.bam	G1	3
SRR13902842.bam	G1	1
SRR13902843.bam	G1	2
SRR13902845.bam	G1	2
SRR13902847.bam	G1	2
SRR13902848.bam	G1	1
SRR13902849.bam	G1	2
SRR13902850.bam	G1	1
SRR13902851.bam	G1	1
SRR13902852.bam	G1	1
SRR13902853.bam	G1	2
SRR13902854.bam	G1	2
SRR13902855.bam	G1	3
SRR13902856.bam	G1	2
SRR13902858.bam	G1	1
SRR13902859.bam	G1	3
SRR13902860.bam	G1	2
SRR13902861.bam	G1	2
SRR13902862.bam	G1	3
SRR13902863.bam	G1	1
SRR13902864.bam	G1	1
SRR13902865.bam	G1	2
SRR13902866.bam	G1	1
SRR13902867.bam	G1	2
SRR13902868.bam	G1	1
SRR13902869.bam	S	2
SRR13902870.bam	G1	1
SRR13902871.bam	G1	3
SRR13902872.bam	G1	2
SRR13902873.bam	G1	2
SRR13902874.bam	G1	1
SRR13902875.bam	G1	2
SRR13902878.bam	G1	1
SRR13902879.bam	G1	1
SRR13902880.bam	G1	3
SRR13902881.bam	G1	2
SRR13902882.bam	G1	2
SRR13902884.bam	G1	3
SRR13902885.bam	G1	3
SRR13902886.bam	G1	2
SRR13902887.bam	G1	1
SRR13902888.bam	G1	2
SRR13902889.bam	G1	3
SRR13902890.bam	G1	2
SRR13902891.bam	G1	1
SRR13902892.bam	G1	2
SRR13902893.bam	G1	1
SRR13902894.bam	G1	2
SRR13902896.bam	G1	1
SRR13902897.bam	G1	2
SRR13902900.bam	G1	1
SRR13902901.bam	G1	2
