Cell	Phase	Subpopulation
SA1135-A96199A-R10-C07.bam	S	3
SA1135-A96199A-R10-C16.bam	S	4
SA1135-A96199A-R10-C18.bam	S	4
SA1135-A96199A-R10-C19.bam	S	2
SA1135-A96199A-R10-C25.bam	G1	2
SA1135-A96199A-R10-C29.bam	G1	3
SA1135-A96199A-R10-C30.bam	S	3
SA1135-A96199A-R10-C31.bam	G1	3
SA1135-A96199A-R10-C37.bam	G1	2
SA1135-A96199A-R10-C41.bam	G1	3
SA1135-A96199A-R10-C42.bam	S	4
SA1135-A96199A-R10-C52.bam	G1	2
SA1135-A96199A-R10-C54.bam	G1	4
SA1135-A96199A-R10-C55.bam	G1	3
SA1135-A96199A-R10-C56.bam	G1	2
SA1135-A96199A-R10-C57.bam	S	4
SA1135-A96199A-R10-C59.bam	S	4
SA1135-A96199A-R10-C63.bam	S	4
SA1135-A96199A-R10-C66.bam	S	2
SA1135-A96199A-R11-C07.bam	S	4
SA1135-A96199A-R11-C09.bam	G1	3
SA1135-A96199A-R11-C13.bam	S	3
SA1135-A96199A-R11-C16.bam	G1	3
SA1135-A96199A-R11-C19.bam	S	2
SA1135-A96199A-R11-C26.bam	S	4
SA1135-A96199A-R11-C28.bam	G1	2
SA1135-A96199A-R11-C29.bam	G1	3
SA1135-A96199A-R11-C34.bam	S	4
SA1135-A96199A-R11-C36.bam	S	4
SA1135-A96199A-R11-C37.bam	S	4
SA1135-A96199A-R11-C39.bam	S	4
SA1135-A96199A-R11-C41.bam	S	4
SA1135-A96199A-R11-C42.bam	G1	2
SA1135-A96199A-R11-C48.bam	G1	3
SA1135-A96199A-R11-C51.bam	G1	2
SA1135-A96199A-R11-C59.bam	S	2
SA1135-A96199A-R11-C61.bam	G1	1
SA1135-A96199A-R11-C65.bam	G1	2
SA1135-A96199A-R12-C11.bam	S	2
SA1135-A96199A-R12-C12.bam	G1	3
SA1135-A96199A-R12-C14.bam	G1	2
SA1135-A96199A-R12-C17.bam	S	4
SA1135-A96199A-R12-C19.bam	G1	4
SA1135-A96199A-R12-C20.bam	G1	4
SA1135-A96199A-R12-C22.bam	G1	3
SA1135-A96199A-R12-C27.bam	G1	4
SA1135-A96199A-R12-C30.bam	S	3
SA1135-A96199A-R12-C37.bam	G1	1
SA1135-A96199A-R12-C42.bam	G1	1
SA1135-A96199A-R12-C47.bam	S	3
SA1135-A96199A-R12-C48.bam	G1	2
SA1135-A96199A-R12-C49.bam	S	1
SA1135-A96199A-R12-C50.bam	G1	1
SA1135-A96199A-R12-C52.bam	G1	2
SA1135-A96199A-R12-C54.bam	G1	1
SA1135-A96199A-R12-C57.bam	S	2
SA1135-A96199A-R12-C62.bam	G1	3
SA1135-A96199A-R12-C63.bam	S	4
SA1135-A96199A-R12-C64.bam	G1	4
SA1135-A96199A-R12-C66.bam	G1	3
SA1135-A96199A-R12-C69.bam	G1	1
SA1135-A96199A-R13-C09.bam	G1	4
SA1135-A96199A-R13-C13.bam	G1	4
SA1135-A96199A-R13-C14.bam	G1	3
SA1135-A96199A-R13-C16.bam	G1	1
SA1135-A96199A-R13-C21.bam	G1	1
SA1135-A96199A-R13-C22.bam	S	4
SA1135-A96199A-R13-C23.bam	G1	1
SA1135-A96199A-R13-C24.bam	S	1
SA1135-A96199A-R13-C25.bam	G1	1
SA1135-A96199A-R13-C35.bam	S	4
SA1135-A96199A-R13-C40.bam	G1	3
SA1135-A96199A-R13-C44.bam	S	4
SA1135-A96199A-R13-C54.bam	G1	1
SA1135-A96199A-R13-C56.bam	G1	3
SA1135-A96199A-R13-C57.bam	S	4
SA1135-A96199A-R13-C61.bam	S	3
SA1135-A96199A-R13-C62.bam	G1	2
SA1135-A96199A-R13-C64.bam	G1	4
SA1135-A96199A-R13-C65.bam	G1	1
SA1135-A96199A-R13-C66.bam	S	2
SA1135-A96199A-R13-C69.bam	S	1
SA1135-A96199A-R14-C09.bam	S	4
SA1135-A96199A-R14-C11.bam	S	4
SA1135-A96199A-R14-C13.bam	S	3
SA1135-A96199A-R14-C22.bam	G1	2
SA1135-A96199A-R14-C23.bam	S	3
SA1135-A96199A-R14-C26.bam	G1	2
SA1135-A96199A-R14-C34.bam	S	2
SA1135-A96199A-R14-C36.bam	S	2
SA1135-A96199A-R14-C37.bam	G1	3
SA1135-A96199A-R14-C38.bam	S	4
SA1135-A96199A-R14-C47.bam	S	1
SA1135-A96199A-R14-C52.bam	G1	2
SA1135-A96199A-R14-C54.bam	G1	1
SA1135-A96199A-R14-C59.bam	S	4
SA1135-A96199A-R14-C61.bam	G1	2
SA1135-A96199A-R14-C62.bam	S	2
SA1135-A96199A-R14-C63.bam	G1	3
SA1135-A96199A-R15-C08.bam	G1	1
SA1135-A96199A-R15-C09.bam	G1	2
SA1135-A96199A-R15-C11.bam	S	4
SA1135-A96199A-R15-C14.bam	G1	2
SA1135-A96199A-R15-C15.bam	S	3
SA1135-A96199A-R15-C19.bam	G1	1
SA1135-A96199A-R15-C20.bam	S	4
SA1135-A96199A-R15-C21.bam	S	4
SA1135-A96199A-R15-C24.bam	S	4
SA1135-A96199A-R15-C26.bam	G1	1
SA1135-A96199A-R15-C27.bam	G1	4
SA1135-A96199A-R15-C30.bam	S	2
SA1135-A96199A-R15-C35.bam	S	3
SA1135-A96199A-R15-C37.bam	S	4
SA1135-A96199A-R15-C39.bam	S	4
SA1135-A96199A-R15-C40.bam	G1	1
SA1135-A96199A-R15-C42.bam	S	4
SA1135-A96199A-R15-C44.bam	G1	3
SA1135-A96199A-R15-C45.bam	S	2
SA1135-A96199A-R15-C46.bam	S	2
SA1135-A96199A-R15-C48.bam	G1	1
SA1135-A96199A-R15-C50.bam	G1	2
SA1135-A96199A-R15-C55.bam	S	4
SA1135-A96199A-R15-C57.bam	G1	2
SA1135-A96199A-R15-C59.bam	G1	3
SA1135-A96199A-R15-C64.bam	S	3
SA1135-A96199A-R15-C66.bam	G1	4
SA1135-A96199A-R15-C67.bam	S	1
SA1135-A96199A-R15-C70.bam	G1	3
SA1135-A96199A-R16-C13.bam	S	2
SA1135-A96199A-R16-C14.bam	S	4
SA1135-A96199A-R16-C22.bam	G1	1
SA1135-A96199A-R16-C25.bam	S	3
SA1135-A96199A-R16-C28.bam	S	3
SA1135-A96199A-R16-C31.bam	S	2
SA1135-A96199A-R16-C37.bam	S	4
SA1135-A96199A-R16-C39.bam	G1	3
SA1135-A96199A-R16-C40.bam	G1	3
SA1135-A96199A-R16-C56.bam	S	3
SA1135-A96199A-R16-C61.bam	G1	4
SA1135-A96199A-R16-C68.bam	G1	4
SA1135-A96199A-R17-C11.bam	S	4
SA1135-A96199A-R17-C25.bam	S	4
SA1135-A96199A-R17-C31.bam	G1	2
SA1135-A96199A-R17-C35.bam	S	1
SA1135-A96199A-R17-C37.bam	G1	2
SA1135-A96199A-R17-C43.bam	S	4
SA1135-A96199A-R17-C46.bam	G1	4
SA1135-A96199A-R17-C65.bam	G1	3
SA1135-A96199A-R17-C66.bam	G1	1
SA1135-A96199A-R17-C68.bam	G1	3
SA1135-A96199A-R17-C70.bam	S	3
SA1135-A96199A-R18-C08.bam	S	4
SA1135-A96199A-R18-C12.bam	S	4
SA1135-A96199A-R18-C17.bam	G1	1
SA1135-A96199A-R18-C21.bam	G1	4
SA1135-A96199A-R18-C22.bam	G1	4
SA1135-A96199A-R18-C30.bam	G1	1
SA1135-A96199A-R18-C32.bam	S	4
SA1135-A96199A-R18-C38.bam	G1	1
SA1135-A96199A-R18-C44.bam	G1	4
SA1135-A96199A-R18-C46.bam	G1	2
SA1135-A96199A-R18-C47.bam	S	4
SA1135-A96199A-R18-C50.bam	G1	4
SA1135-A96199A-R18-C55.bam	G1	1
SA1135-A96199A-R18-C65.bam	S	4
SA1135-A96199A-R18-C67.bam	G1	3
SA1135-A96199A-R18-C68.bam	S	4
SA1135-A96199A-R19-C31.bam	G1	1
SA1135-A96199A-R19-C46.bam	G1	1
SA1135-A96199A-R19-C47.bam	S	4
SA1135-A96199A-R19-C50.bam	S	4
SA1135-A96199A-R19-C55.bam	G1	3
SA1135-A96199A-R20-C10.bam	G1	2
SA1135-A96199A-R20-C32.bam	G1	2
SA1135-A96199A-R20-C60.bam	S	4
SA1135-A96199A-R21-C16.bam	G1	2
SA1135-A96199A-R21-C24.bam	G1	1
SA1135-A96199A-R22-C10.bam	S	3
SA1135-A96199A-R22-C11.bam	S	3
SA1135-A96199A-R22-C13.bam	S	4
SA1135-A96199A-R22-C23.bam	G1	2
SA1135-A96199A-R22-C31.bam	S	3
SA1135-A96199A-R22-C52.bam	S	3
SA1135-A96199A-R22-C55.bam	S	3
SA1135-A96199A-R23-C18.bam	S	4
SA1135-A96199A-R23-C32.bam	G1	4
SA1135-A96199A-R23-C37.bam	G1	2
SA1135-A96199A-R23-C43.bam	G1	1
SA1135-A96199A-R23-C46.bam	S	1
SA1135-A96199A-R23-C51.bam	G1	3
SA1135-A96199A-R23-C68.bam	S	2
SA1135-A96199A-R24-C39.bam	S	4
SA1135-A96199A-R24-C41.bam	G1	3
SA1135-A96199A-R24-C51.bam	G1	2
SA1135-A96199A-R24-C67.bam	S	2
SA1135-A96199A-R24-C70.bam	S	1
SA1135-A96199A-R25-C62.bam	G1	2
SA1135-A96199A-R26-C18.bam	G1	3
SA1135-A96199A-R27-C11.bam	S	4
SA1135-A96199A-R27-C17.bam	S	1
SA1135-A96199A-R27-C25.bam	G1	1
SA1135-A96199A-R27-C29.bam	G1	3
SA1135-A96199A-R27-C66.bam	S	3
SA1135-A96199A-R28-C31.bam	G1	3
SA1135-A96199A-R28-C47.bam	S	2
SA1135-A96199A-R29-C10.bam	S	3
SA1135-A96199A-R29-C11.bam	G1	3
SA1135-A96199A-R29-C56.bam	G1	2
SA1135-A96199A-R29-C64.bam	S	2
SA1135-A96199A-R30-C13.bam	G1	1
SA1135-A96199A-R30-C62.bam	S	2
