Cell	Phase	Subpopulation
SRR13905374.bam	G1	4
SRR13905375.bam	G1	1
SRR13905376.bam	S	1
SRR13905377.bam	G1	1
SRR13905378.bam	G1	1
SRR13905379.bam	G1	2
SRR13905380.bam	G1	2
SRR13905381.bam	G1	3
SRR13905382.bam	G1	1
SRR13905383.bam	G1	2
SRR13905384.bam	G1	3
SRR13905385.bam	G1	2
SRR13905386.bam	G1	2
SRR13905387.bam	G1	1
SRR13905389.bam	G1	2
SRR13905390.bam	G1	2
SRR13905391.bam	G1	2
SRR13905392.bam	G1	2
SRR13905393.bam	G1	2
SRR13905394.bam	G1	2
SRR13905395.bam	G1	2
SRR13905396.bam	G1	2
SRR13905397.bam	G1	2
SRR13905398.bam	G1	2
SRR13905399.bam	G1	2
SRR13905400.bam	G1	2
SRR13905401.bam	G1	3
SRR13905402.bam	G1	2
SRR13905403.bam	G1	3
SRR13905404.bam	G1	1
SRR13905406.bam	G1	2
SRR13905407.bam	G1	2
SRR13905408.bam	G1	2
SRR13905409.bam	G1	4
SRR13905410.bam	G1	1
SRR13905411.bam	G1	1
SRR13905412.bam	G1	2
SRR13905413.bam	G1	2
SRR13905414.bam	G1	2
SRR13905415.bam	G1	4
SRR13905416.bam	G1	2
SRR13905417.bam	G1	2
SRR13905418.bam	G1	2
SRR13905419.bam	G1	2
SRR13905420.bam	G1	2
SRR13905421.bam	G1	1
SRR13905422.bam	G1	1
SRR13905423.bam	G1	2
SRR13905424.bam	G1	3
SRR13905425.bam	G1	2
SRR13905426.bam	G1	2
SRR13905427.bam	G1	2
SRR13905428.bam	G1	3
SRR13905430.bam	G1	3
SRR13905431.bam	G1	2
SRR13905432.bam	G1	2
SRR13905433.bam	G1	3
SRR13905434.bam	G1	2
SRR13905436.bam	G1	2
SRR13905437.bam	G1	1
SRR13905438.bam	G1	2
SRR13905439.bam	G1	2
SRR13905440.bam	G1	3
SRR13905441.bam	G1	2
SRR13905443.bam	G1	3
SRR13905444.bam	G1	2
SRR13905445.bam	G1	2
SRR13905446.bam	G1	2
SRR13905447.bam	G1	3
SRR13905448.bam	G1	4
SRR13905450.bam	G1	2
SRR13905451.bam	G1	2
SRR13905452.bam	G1	2
SRR13905454.bam	G1	2
SRR13905455.bam	G1	2
SRR13905456.bam	G1	2
SRR13905457.bam	G1	2
SRR13905458.bam	G1	1
SRR13905459.bam	G1	4
SRR13905460.bam	G1	1
SRR13905461.bam	G1	3
SRR13905462.bam	G1	2
SRR13905463.bam	G1	1
SRR13905464.bam	G1	1
SRR13905465.bam	G1	2
SRR13905466.bam	G1	2
SRR13905467.bam	G1	1
SRR13905468.bam	G1	2
SRR13905469.bam	G1	1
SRR13905470.bam	G1	2
SRR13905471.bam	G1	2
SRR13905472.bam	G1	1
SRR13905473.bam	G1	2
SRR13905474.bam	G1	2
SRR13905475.bam	G1	1
SRR13905476.bam	G1	2
SRR13905477.bam	G1	2
SRR13905478.bam	G1	1
SRR13905480.bam	G1	2
SRR13905481.bam	G1	4
SRR13905482.bam	G1	4
SRR13905483.bam	G1	2
SRR13905484.bam	G1	2
SRR13905485.bam	G1	3
SRR13905486.bam	G1	4
SRR13905487.bam	G1	2
SRR13905488.bam	G1	1
SRR13905489.bam	G1	2
SRR13905491.bam	G1	2
SRR13905492.bam	G1	3
SRR13905493.bam	G1	2
SRR13905494.bam	G1	2
SRR13905495.bam	G1	2
SRR13905496.bam	G1	2
SRR13905497.bam	G1	1
SRR13905498.bam	G1	2
SRR13905499.bam	G1	1
SRR13905500.bam	G1	3
SRR13905501.bam	G1	4
SRR13905502.bam	G1	3
SRR13905503.bam	G1	2
SRR13905504.bam	G1	2
SRR13905505.bam	G1	2
SRR13905506.bam	G1	3
SRR13905507.bam	G1	2
SRR13905509.bam	G1	2
SRR13905510.bam	G1	2
SRR13905511.bam	G1	1
SRR13905512.bam	G1	2
SRR13905513.bam	G1	2
SRR13905514.bam	G1	2
SRR13905515.bam	G1	2
SRR13905516.bam	G1	4
SRR13905518.bam	G1	4
SRR13905519.bam	G1	2
SRR13905520.bam	G1	1
SRR13905521.bam	G1	1
SRR13905523.bam	G1	2
SRR13905524.bam	G1	2
SRR13905525.bam	G1	4
SRR13905529.bam	G1	4
SRR13905531.bam	G1	2
SRR13905532.bam	G1	2
SRR13905533.bam	S	3
SRR13905534.bam	G1	3
SRR13905536.bam	G1	2
SRR13905537.bam	G1	2
SRR13905539.bam	G1	2
SRR13905541.bam	G1	1
SRR13905542.bam	G1	2
SRR13905543.bam	G1	4
SRR13905545.bam	G1	3
SRR13905546.bam	G1	2
SRR13905547.bam	G1	2
SRR13905548.bam	G1	1
SRR13905549.bam	G1	1
SRR13905550.bam	G1	2
SRR13905551.bam	G1	2
