Cell	Phase
SA532X4XB00273-A95732B-R26-C66.bam	G1
SA532X4XB00273-A95732B-R26-C68.bam	S
SA532X4XB00273-A95732B-R27-C07.bam	S
SA532X4XB00273-A95732B-R27-C09.bam	G1
SA532X4XB00273-A95732B-R27-C11.bam	S
SA532X4XB00273-A95732B-R27-C13.bam	G1
SA532X4XB00273-A95732B-R27-C14.bam	G1
SA532X4XB00273-A95732B-R27-C15.bam	G1
SA532X4XB00273-A95732B-R27-C16.bam	G1
SA532X4XB00273-A95732B-R27-C17.bam	G1
SA532X4XB00273-A95732B-R27-C19.bam	G1
SA532X4XB00273-A95732B-R27-C20.bam	G1
SA532X4XB00273-A95732B-R27-C21.bam	G1
SA532X4XB00273-A95732B-R27-C22.bam	S
SA532X4XB00273-A95732B-R27-C23.bam	G1
SA532X4XB00273-A95732B-R27-C24.bam	G1
SA532X4XB00273-A95732B-R27-C29.bam	G1
SA532X4XB00273-A95732B-R27-C30.bam	G1
SA532X4XB00273-A95732B-R27-C31.bam	G1
SA532X4XB00273-A95732B-R27-C35.bam	G1
SA532X4XB00273-A95732B-R27-C40.bam	G1
SA532X4XB00273-A95732B-R27-C41.bam	S
SA532X4XB00273-A95732B-R27-C42.bam	G1
SA532X4XB00273-A95732B-R27-C44.bam	S
SA532X4XB00273-A95732B-R27-C48.bam	G1
SA532X4XB00273-A95732B-R27-C52.bam	G1
SA532X4XB00273-A95732B-R27-C56.bam	G1
SA532X4XB00273-A95732B-R27-C58.bam	G1
SA532X4XB00273-A95732B-R27-C61.bam	G1
SA532X4XB00273-A95732B-R27-C64.bam	G1
SA532X4XB00273-A95732B-R28-C08.bam	G1
SA532X4XB00273-A95732B-R28-C09.bam	G1
SA532X4XB00273-A95732B-R28-C11.bam	G1
SA532X4XB00273-A95732B-R28-C13.bam	G1
SA532X4XB00273-A95732B-R28-C14.bam	G1
SA532X4XB00273-A95732B-R28-C19.bam	G1
SA532X4XB00273-A95732B-R28-C22.bam	G1
SA532X4XB00273-A95732B-R28-C28.bam	G1
SA532X4XB00273-A95732B-R28-C29.bam	G1
SA532X4XB00273-A95732B-R28-C35.bam	G1
SA532X4XB00273-A95732B-R28-C37.bam	G1
SA532X4XB00273-A95732B-R28-C39.bam	G1
SA532X4XB00273-A95732B-R28-C44.bam	G1
SA532X4XB00273-A95732B-R29-C69.bam	G1
SA532X4XB00273-A95732B-R31-C13.bam	G1
SA532X4XB00273-A95732B-R31-C15.bam	G1
SA532X4XB00273-A95732B-R31-C17.bam	S
SA532X4XB00273-A95732B-R32-C24.bam	G1
SA532X4XB00273-A95732B-R32-C25.bam	G1
SA532X4XB00273-A95732B-R32-C28.bam	G1
SA532X4XB00273-A95732B-R32-C29.bam	S
SA532X4XB00273-A95732B-R32-C32.bam	G1
SA532X4XB00273-A95732B-R32-C33.bam	G1
SA532X4XB00273-A95732B-R32-C35.bam	S
SA532X4XB00273-A95732B-R32-C39.bam	G1
SA532X4XB00273-A95732B-R32-C43.bam	G1
SA532X4XB00273-A95732B-R32-C48.bam	G1
SA532X4XB00273-A95732B-R32-C49.bam	G1
SA532X4XB00273-A95732B-R32-C51.bam	G1
SA532X4XB00273-A95732B-R32-C52.bam	G1
SA532X4XB00273-A95732B-R32-C54.bam	S
SA532X4XB00273-A95732B-R32-C56.bam	G1
SA532X4XB00273-A95732B-R32-C58.bam	G1
SA532X4XB00273-A95732B-R32-C59.bam	G1
SA532X4XB00273-A95732B-R32-C61.bam	G1
SA532X4XB00273-A95732B-R32-C62.bam	G1
SA532X4XB00273-A95732B-R32-C64.bam	G1
SA532X4XB00273-A95732B-R33-C12.bam	S
SA532X4XB00273-A95732B-R33-C41.bam	G1
SA532X4XB00273-A95732B-R33-C48.bam	G1
SA532X4XB00273-A95732B-R33-C49.bam	S
SA532X4XB00273-A95732B-R33-C50.bam	G1
SA532X4XB00273-A95732B-R33-C55.bam	G1
SA532X4XB00273-A95732B-R33-C56.bam	G1
SA532X4XB00273-A95732B-R33-C57.bam	G1
SA532X4XB00273-A95732B-R33-C60.bam	G1
SA532X4XB00273-A95732B-R33-C61.bam	G1
SA532X4XB00273-A95732B-R33-C62.bam	G1
SA532X4XB00273-A95732B-R33-C65.bam	G1
SA532X4XB00273-A95732B-R33-C66.bam	G1
SA532X4XB00273-A95732B-R33-C67.bam	G1
SA532X4XB00273-A95732B-R33-C69.bam	S
SA532X4XB00273-A95732B-R33-C70.bam	G1
SA532X4XB00273-A95732B-R34-C07.bam	G1
SA532X4XB00273-A95732B-R34-C08.bam	G1
SA532X4XB00273-A95732B-R34-C10.bam	G1
SA532X4XB00273-A95732B-R34-C11.bam	G1
SA532X4XB00273-A95732B-R34-C12.bam	S
SA532X4XB00273-A95732B-R34-C14.bam	S
SA532X4XB00273-A95732B-R34-C15.bam	S
SA532X4XB00273-A95732B-R34-C17.bam	S
SA532X4XB00273-A95732B-R34-C18.bam	G1
SA532X4XB00273-A95732B-R34-C19.bam	G1
SA532X4XB00273-A95732B-R34-C23.bam	G1
SA532X4XB00273-A95732B-R34-C24.bam	G1
SA532X4XB00273-A95732B-R34-C25.bam	G1
SA532X4XB00273-A95732B-R34-C26.bam	G1
SA532X4XB00273-A95732B-R34-C28.bam	G1
SA532X4XB00273-A95732B-R34-C29.bam	G1
SA532X4XB00273-A95732B-R34-C30.bam	G1
SA532X4XB00273-A95732B-R34-C32.bam	G1
SA532X4XB00273-A95732B-R34-C35.bam	G1
SA532X4XB00273-A95732B-R34-C37.bam	G1
SA532X4XB00273-A95732B-R34-C38.bam	G1
SA532X4XB00273-A95732B-R34-C39.bam	G1
SA532X4XB00273-A95732B-R34-C40.bam	G1
SA532X4XB00273-A95732B-R34-C42.bam	G1
SA532X4XB00273-A95732B-R34-C44.bam	G1
SA532X4XB00273-A95732B-R34-C49.bam	G1
SA532X4XB00273-A95732B-R34-C51.bam	G1
SA532X4XB00273-A95732B-R34-C52.bam	G1
SA532X4XB00273-A95732B-R34-C54.bam	G1
SA532X4XB00273-A95732B-R34-C55.bam	G1
SA532X4XB00273-A95732B-R34-C56.bam	G1
SA532X4XB00273-A95732B-R34-C58.bam	G1
SA532X4XB00273-A95732B-R34-C60.bam	S
SA532X4XB00273-A95732B-R34-C64.bam	G1
SA532X4XB00273-A95732B-R34-C65.bam	S
SA532X4XB00273-A95732B-R34-C66.bam	G1
SA532X4XB00273-A95732B-R34-C67.bam	G1
SA532X4XB00273-A95732B-R34-C68.bam	G1
SA532X4XB00273-A95732B-R34-C70.bam	G1
SA532X4XB00273-A95732B-R35-C09.bam	G1
SA532X4XB00273-A95732B-R35-C10.bam	G1
SA532X4XB00273-A95732B-R35-C11.bam	G1
SA532X4XB00273-A95732B-R35-C12.bam	G1
SA532X4XB00273-A95732B-R35-C13.bam	G1
SA532X4XB00273-A95732B-R35-C14.bam	G1
SA532X4XB00273-A95732B-R35-C15.bam	G1
SA532X4XB00273-A95732B-R35-C16.bam	G1
SA532X4XB00273-A95732B-R35-C17.bam	G1
SA532X4XB00273-A95732B-R35-C18.bam	S
SA532X4XB00273-A95732B-R35-C19.bam	S
SA532X4XB00273-A95732B-R35-C21.bam	G1
SA532X4XB00273-A95732B-R35-C23.bam	G1
SA532X4XB00273-A95732B-R35-C24.bam	G1
SA532X4XB00273-A95732B-R35-C25.bam	G1
SA532X4XB00273-A95732B-R35-C26.bam	G1
SA532X4XB00273-A95732B-R35-C27.bam	G1
SA532X4XB00273-A95732B-R35-C29.bam	S
SA532X4XB00273-A95732B-R35-C30.bam	G1
SA532X4XB00273-A95732B-R35-C31.bam	G1
SA532X4XB00273-A95732B-R35-C35.bam	G1
SA532X4XB00273-A95732B-R35-C38.bam	G1
SA532X4XB00273-A95732B-R35-C39.bam	G1
SA532X4XB00273-A95732B-R35-C40.bam	G1
SA532X4XB00273-A95732B-R35-C46.bam	G1
SA532X4XB00273-A95732B-R35-C47.bam	G1
SA532X4XB00273-A95732B-R35-C48.bam	G1
SA532X4XB00273-A95732B-R35-C49.bam	G1
SA532X4XB00273-A95732B-R35-C50.bam	G1
SA532X4XB00273-A95732B-R35-C54.bam	G1
SA532X4XB00273-A95732B-R35-C55.bam	G1
SA532X4XB00273-A95732B-R35-C56.bam	G1
SA532X4XB00273-A95732B-R35-C57.bam	G1
SA532X4XB00273-A95732B-R35-C58.bam	G1
SA532X4XB00273-A95732B-R35-C59.bam	G1
SA532X4XB00273-A95732B-R35-C60.bam	S
SA532X4XB00273-A95732B-R35-C63.bam	S
SA532X4XB00273-A95732B-R35-C64.bam	G1
SA532X4XB00273-A95732B-R35-C67.bam	G1
SA532X4XB00273-A95732B-R35-C69.bam	S
SA532X4XB00273-A95732B-R36-C07.bam	G1
SA532X4XB00273-A95732B-R36-C08.bam	G1
SA532X4XB00273-A95732B-R36-C11.bam	G1
SA532X4XB00273-A95732B-R36-C14.bam	G1
SA532X4XB00273-A95732B-R36-C17.bam	G1
SA532X4XB00273-A95732B-R36-C18.bam	G1
SA532X4XB00273-A95732B-R36-C19.bam	G1
SA532X4XB00273-A95732B-R36-C23.bam	G1
SA532X4XB00273-A95732B-R36-C24.bam	G1
SA532X4XB00273-A95732B-R36-C25.bam	G1
SA532X4XB00273-A95732B-R36-C26.bam	G1
SA532X4XB00273-A95732B-R36-C27.bam	G1
SA532X4XB00273-A95732B-R36-C28.bam	G1
SA532X4XB00273-A95732B-R36-C29.bam	G1
SA532X4XB00273-A95732B-R36-C30.bam	G1
SA532X4XB00273-A95732B-R36-C32.bam	G1
SA532X4XB00273-A95732B-R36-C35.bam	G1
SA532X4XB00273-A95732B-R36-C37.bam	G1
SA532X4XB00273-A95732B-R36-C41.bam	G1
SA532X4XB00273-A95732B-R36-C42.bam	G1
SA532X4XB00273-A95732B-R36-C47.bam	G1
SA532X4XB00273-A95732B-R36-C48.bam	G1
SA532X4XB00273-A95732B-R36-C50.bam	G1
SA532X4XB00273-A95732B-R36-C51.bam	S
