Cell	Phase
SA906-A73046B-R42-C36.bam	G1
SA906-A73046B-R42-C37.bam	S
SA906-A73046B-R42-C39.bam	S
SA906-A73046B-R42-C40.bam	G1
SA906-A73046B-R42-C41.bam	S
SA906-A73046B-R42-C43.bam	S
SA906-A73046B-R42-C44.bam	G1
SA906-A73046B-R42-C45.bam	G1
SA906-A73046B-R42-C52.bam	G1
SA906-A73046B-R42-C53.bam	S
SA906-A73046B-R42-C54.bam	S
SA906-A73046B-R42-C55.bam	G1
SA906-A73046B-R42-C56.bam	G1
SA906-A73046B-R42-C57.bam	S
SA906-A73046B-R42-C59.bam	G1
SA906-A73046B-R42-C60.bam	G1
SA906-A73046B-R42-C61.bam	G1
SA906-A73046B-R42-C63.bam	G1
SA906-A73046B-R42-C65.bam	S
SA906-A73046B-R42-C66.bam	G1
SA906-A73046B-R42-C67.bam	S
SA906-A73046B-R43-C07.bam	S
SA906-A73046B-R43-C09.bam	G1
SA906-A73046B-R43-C11.bam	S
SA906-A73046B-R43-C12.bam	G1
SA906-A73046B-R43-C13.bam	G1
SA906-A73046B-R43-C14.bam	G1
SA906-A73046B-R43-C16.bam	G1
SA906-A73046B-R43-C17.bam	S
SA906-A73046B-R43-C18.bam	S
SA906-A73046B-R43-C19.bam	S
SA906-A73046B-R43-C20.bam	S
SA906-A73046B-R43-C21.bam	G1
SA906-A73046B-R43-C22.bam	S
SA906-A73046B-R43-C23.bam	G1
SA906-A73046B-R43-C24.bam	G1
SA906-A73046B-R43-C25.bam	G1
SA906-A73046B-R43-C26.bam	S
SA906-A73046B-R43-C27.bam	G1
SA906-A73046B-R43-C28.bam	S
SA906-A73046B-R43-C30.bam	G1
SA906-A73046B-R43-C31.bam	G1
SA906-A73046B-R43-C32.bam	S
SA906-A73046B-R43-C34.bam	S
SA906-A73046B-R43-C35.bam	G1
SA906-A73046B-R43-C37.bam	G1
SA906-A73046B-R43-C39.bam	G1
SA906-A73046B-R43-C40.bam	G1
SA906-A73046B-R43-C41.bam	S
SA906-A73046B-R43-C42.bam	G1
SA906-A73046B-R43-C43.bam	S
SA906-A73046B-R43-C44.bam	S
SA906-A73046B-R43-C45.bam	S
SA906-A73046B-R43-C46.bam	G1
SA906-A73046B-R43-C47.bam	S
SA906-A73046B-R43-C48.bam	G1
SA906-A73046B-R43-C50.bam	G1
SA906-A73046B-R43-C52.bam	G1
SA906-A73046B-R43-C53.bam	G1
SA906-A73046B-R43-C54.bam	G1
SA906-A73046B-R43-C55.bam	G1
SA906-A73046B-R43-C57.bam	S
SA906-A73046B-R43-C58.bam	G1
SA906-A73046B-R43-C60.bam	S
SA906-A73046B-R43-C63.bam	G1
SA906-A73046B-R43-C64.bam	G1
SA906-A73046B-R43-C67.bam	S
SA906-A73046B-R44-C04.bam	G1
SA906-A73046B-R44-C07.bam	G1
SA906-A73046B-R44-C08.bam	G1
SA906-A73046B-R44-C09.bam	G1
SA906-A73046B-R44-C10.bam	G1
SA906-A73046B-R44-C11.bam	S
SA906-A73046B-R44-C12.bam	G1
SA906-A73046B-R44-C13.bam	G1
SA906-A73046B-R44-C14.bam	G1
SA906-A73046B-R44-C15.bam	G1
SA906-A73046B-R44-C17.bam	G1
SA906-A73046B-R44-C18.bam	G1
SA906-A73046B-R44-C19.bam	G1
SA906-A73046B-R44-C20.bam	G1
SA906-A73046B-R44-C21.bam	G1
SA906-A73046B-R44-C22.bam	G1
SA906-A73046B-R44-C23.bam	S
SA906-A73046B-R44-C24.bam	S
SA906-A73046B-R44-C25.bam	G1
SA906-A73046B-R44-C27.bam	S
SA906-A73046B-R44-C28.bam	G1
SA906-A73046B-R44-C29.bam	S
SA906-A73046B-R44-C30.bam	G1
SA906-A73046B-R44-C31.bam	G1
SA906-A73046B-R44-C34.bam	S
SA906-A73046B-R44-C39.bam	S
SA906-A73046B-R44-C40.bam	S
SA906-A73046B-R44-C41.bam	G1
SA906-A73046B-R44-C43.bam	G1
SA906-A73046B-R44-C44.bam	G1
SA906-A73046B-R44-C46.bam	S
SA906-A73046B-R44-C47.bam	G1
SA906-A73046B-R44-C49.bam	S
SA906-A73046B-R44-C50.bam	G1
SA906-A73046B-R44-C51.bam	G1
SA906-A73046B-R44-C52.bam	S
SA906-A73046B-R44-C53.bam	G1
SA906-A73046B-R44-C54.bam	G1
SA906-A73046B-R44-C55.bam	S
SA906-A73046B-R44-C56.bam	S
