Cell	Phase
SA928-A73044A-R10-C13.bam	G1
SA928-A73044A-R10-C14.bam	G1
SA928-A73044A-R10-C16.bam	G1
SA928-A73044A-R10-C17.bam	G1
SA928-A73044A-R10-C18.bam	G1
SA928-A73044A-R10-C19.bam	S
SA928-A73044A-R10-C21.bam	G1
SA928-A73044A-R10-C22.bam	G1
SA928-A73044A-R10-C24.bam	S
SA928-A73044A-R10-C25.bam	G1
SA928-A73044A-R10-C26.bam	G1
SA928-A73044A-R10-C27.bam	G1
SA928-A73044A-R10-C28.bam	G1
SA928-A73044A-R10-C29.bam	G1
SA928-A73044A-R10-C30.bam	G1
SA928-A73044A-R10-C32.bam	G1
SA928-A73044A-R10-C34.bam	G1
SA928-A73044A-R10-C35.bam	G1
SA928-A73044A-R10-C37.bam	G1
SA928-A73044A-R10-C40.bam	S
SA928-A73044A-R10-C41.bam	S
SA928-A73044A-R10-C42.bam	S
SA928-A73044A-R10-C43.bam	S
SA928-A73044A-R10-C44.bam	S
SA928-A73044A-R10-C45.bam	S
SA928-A73044A-R10-C48.bam	S
SA928-A73044A-R10-C49.bam	S
SA928-A73044A-R10-C50.bam	S
SA928-A73044A-R10-C51.bam	S
SA928-A73044A-R10-C52.bam	S
SA928-A73044A-R10-C56.bam	G1
SA928-A73044A-R10-C57.bam	G1
SA928-A73044A-R10-C58.bam	G1
SA928-A73044A-R10-C60.bam	S
SA928-A73044A-R10-C61.bam	G1
SA928-A73044A-R10-C64.bam	G1
SA928-A73044A-R10-C65.bam	G1
SA928-A73044A-R10-C66.bam	G1
SA928-A73044A-R10-C67.bam	G1
SA928-A73044A-R10-C69.bam	G1
SA928-A73044A-R11-C03.bam	G1
SA928-A73044A-R11-C05.bam	G1
SA928-A73044A-R11-C06.bam	G1
SA928-A73044A-R11-C08.bam	G1
SA928-A73044A-R11-C09.bam	G1
SA928-A73044A-R11-C10.bam	G1
SA928-A73044A-R11-C11.bam	S
SA928-A73044A-R11-C12.bam	G1
SA928-A73044A-R11-C13.bam	G1
SA928-A73044A-R11-C14.bam	S
SA928-A73044A-R11-C16.bam	G1
SA928-A73044A-R11-C17.bam	G1
SA928-A73044A-R11-C18.bam	G1
SA928-A73044A-R11-C19.bam	G1
SA928-A73044A-R11-C21.bam	G1
SA928-A73044A-R11-C22.bam	G1
SA928-A73044A-R11-C24.bam	G1
SA928-A73044A-R11-C25.bam	G1
SA928-A73044A-R11-C26.bam	G1
SA928-A73044A-R11-C27.bam	G1
SA928-A73044A-R11-C28.bam	G1
SA928-A73044A-R11-C29.bam	G1
SA928-A73044A-R11-C30.bam	S
SA928-A73044A-R11-C32.bam	G1
SA928-A73044A-R11-C33.bam	G1
SA928-A73044A-R11-C34.bam	S
SA928-A73044A-R11-C35.bam	G1
SA928-A73044A-R11-C37.bam	G1
SA928-A73044A-R11-C40.bam	S
SA928-A73044A-R11-C41.bam	S
SA928-A73044A-R11-C43.bam	S
SA928-A73044A-R11-C44.bam	S
SA928-A73044A-R11-C45.bam	S
SA928-A73044A-R11-C48.bam	S
SA928-A73044A-R11-C49.bam	S
SA928-A73044A-R11-C50.bam	S
SA928-A73044A-R11-C51.bam	S
SA928-A73044A-R11-C52.bam	G1
SA928-A73044A-R11-C56.bam	G1
