Filename,Cell_count,Minimum,Maximum,Lower_Quartile_(Q1),Upper_Quartile_(Q3),Median_RPM,Median_ploidy
BT20_per_Cell_summary_metrics.csv,1228,115.33480536878164,326.8182687736076,185.123,241.065,215.648,2.55376
MDAMB231_popp31_Paired_per_Cell_summary_metrics.csv,310,189.31992079894138,1030.4695422093544,437.7217903671832,557.4946794351226,493.447,2.5089
MDAMB231_popp31_Single_per_Cell_summary_metrics.csv,508,91.74781201566975,496.58355112280873,232.216,318.455,270.186,2.51419
MDAMB231c28_per_Cell_summary_metrics.csv,897,154.32038841352124,505.08216083885253,233.75515718213316,273.7772429206568,250.6477873077251,2.386072656243336
MDAMB231c8_per_Cell_summary_metrics.csv,995,96.50419691694867,611.9144708207608,190.0355318433846,261.09182288576653,224.2663490163576,2.527496877299249
TN1_10x_per_Cell_summary_metrics.csv,877,72.37320964769894,616.358383026163,189.7117259409216,320.99170536468847,249.05271943219242,3.4258366288217035
TN1_per_Cell_summary_metrics.csv,1100,243.89254857054215,646.8696417975435,401.146,486.043,442.183,3.43036
TN2_per_Cell_summary_metrics.csv,1023,218.5670413271064,1047.8187386574193,448.6515347989191,653.4908248911069,543.0895262522514,3.0135399388913138
TN3_10x_per_Cell_summary_metrics.csv,1089,68.98490468432617,779.4558542318462,217.71607941543368,410.35403929691336,306.82713996734725,3.366071732109468
TN3_per_Cell_summary_metrics.csv,1101,73.64479542667112,382.1534594455087,220.28612686328245,260.65403730563656,240.4453109329211,3.3728454219525648
TN4_per_Cell_summary_metrics.csv,1301,117.38158247825024,442.8227047486827,201.5805074898002,250.3890663916572,225.2050623275978,3.694704183343761
TN5_per_Cell_summary_metrics.csv,1238,138.20197820071832,432.87538742501954,207.9636932450532,252.25775025477114,228.695,2.66086
TN6_per_Cell_summary_metrics.csv,1205,121.80736155311445,481.7917736923967,188.1820668576864,247.6159926429641,218.64443093779508,3.0644530749861296
TN7_per_Cell_summary_metrics.csv,907,118.43071360223034,345.74278093715486,184.76461936309198,242.06013096850404,214.18821410809934,3.056790819201803
TN8_per_Cell_summary_metrics.csv,1224,126.37237716603774,318.3938106092279,202.732,242.853,222.46,3.81215
mb157_per_Cell_summary_metrics.csv,1210,127.34670912654889,549.7657563492334,216.11842109268125,262.92844996453664,240.459,2.43872
mb453_per_Cell_summary_metrics.csv,1260,139.02735944609648,342.57077831662735,212.837,256.072,235.066,4.24808
