Cell	Subpopulation
SA906-A96180B-R34-C57	1
SA906-A96180B-R34-C59	1
SA906-A96180B-R34-C62	1
SA906-A96180B-R34-C65	1
SA906-A96180B-R34-C69	1
SA906-A96180B-R34-C70	1
SA906-A96180B-R35-C08	1
SA906-A96180B-R35-C10	1
SA906-A96180B-R35-C11	1
SA906-A96180B-R35-C12	1
SA906-A96180B-R35-C15	1
SA906-A96180B-R35-C17	1
SA906-A96180B-R35-C18	1
SA906-A96180B-R35-C19	1
SA906-A96180B-R35-C23	1
SA906-A96180B-R35-C24	1
SA906-A96180B-R35-C25	1
SA906-A96180B-R35-C27	1
SA906-A96180B-R35-C28	1
SA906-A96180B-R35-C29	1
SA906-A96180B-R35-C30	1
SA906-A96180B-R35-C34	1
SA906-A96180B-R35-C35	1
SA906-A96180B-R35-C36	1
SA906-A96180B-R35-C38	1
SA906-A96180B-R35-C39	1
SA906-A96180B-R35-C43	1
SA906-A96180B-R35-C47	1
SA906-A96180B-R35-C48	1
SA906-A96180B-R35-C52	1
SA906-A96180B-R35-C54	1
SA906-A96180B-R35-C55	1
SA906-A96180B-R35-C56	1
SA906-A96180B-R35-C60	1
SA906-A96180B-R35-C61	1
SA906-A96180B-R35-C62	1
SA906-A96180B-R35-C64	1
SA906-A96180B-R35-C65	1
SA906-A96180B-R35-C66	1
SA906-A96180B-R35-C68	1
SA906-A96180B-R35-C70	1
SA906-A96180B-R36-C07	1
SA906-A96180B-R36-C12	1
SA906-A96180B-R36-C13	1
SA906-A96180B-R36-C15	1
SA906-A96180B-R36-C16	1
SA906-A96180B-R36-C19	1
SA906-A96180B-R36-C23	1
SA906-A96180B-R36-C26	1
SA906-A96180B-R36-C29	1
SA906-A96180B-R36-C30	1
SA906-A96180B-R36-C31	1
SA906-A96180B-R36-C35	1
SA906-A96180B-R36-C36	1
SA906-A96180B-R36-C40	1
SA906-A96180B-R36-C41	1
SA906-A96180B-R36-C43	1
SA906-A96180B-R36-C47	1
SA906-A96180B-R36-C50	1
SA906-A96180B-R36-C52	1
SA906-A96180B-R36-C57	1
SA906-A96180B-R36-C58	1
SA906-A96180B-R36-C60	1
SA906-A96180B-R36-C62	1
SA906-A96180B-R36-C64	1
SA906-A96180B-R36-C65	1
SA906-A96180B-R36-C68	1
SA906-A96180B-R36-C69	1
SA906-A96180B-R37-C07	1
SA906-A96180B-R37-C08	1
SA906-A96180B-R37-C09	1
SA906-A96180B-R37-C11	1
SA906-A96180B-R37-C12	1
SA906-A96180B-R37-C15	1
SA906-A96180B-R37-C17	1
SA906-A96180B-R37-C19	1
SA906-A96180B-R37-C21	1
SA906-A96180B-R37-C22	1
SA906-A96180B-R37-C23	1
SA906-A96180B-R37-C24	1
SA906-A96180B-R37-C26	1
SA906-A96180B-R37-C27	1
SA906-A96180B-R37-C28	1
SA906-A96180B-R37-C29	1
SA906-A96180B-R37-C30	1
SA906-A96180B-R37-C31	1
SA906-A96180B-R37-C34	1
SA906-A96180B-R37-C36	1
SA906-A96180B-R37-C38	1
SA906-A96180B-R37-C40	1
SA906-A96180B-R37-C41	1
SA906-A96180B-R37-C42	1
SA906-A96180B-R37-C43	1
SA906-A96180B-R37-C44	1
SA906-A96180B-R37-C48	1
SA906-A96180B-R37-C49	1
SA906-A96180B-R37-C50	1
SA906-A96180B-R37-C58	1
SA906-A96180B-R37-C59	1
SA906-A96180B-R37-C60	1
SA906-A96180B-R37-C62	1
SA906-A96180B-R37-C65	1
SA906-A96180B-R37-C68	1
SA906-A96180B-R38-C07	1
SA906-A96180B-R38-C09	1
SA906-A96180B-R38-C11	1
SA906-A96180B-R38-C12	1
SA906-A96180B-R38-C17	1
SA906-A96180B-R38-C20	1
SA906-A96180B-R38-C24	1
SA906-A96180B-R38-C27	1
SA906-A96180B-R38-C28	1
SA906-A96180B-R38-C29	1
SA906-A96180B-R38-C30	1
SA906-A96180B-R38-C31	1
SA906-A96180B-R38-C32	1
SA906-A96180B-R38-C33	1
SA906-A96180B-R38-C35	1
SA906-A96180B-R38-C37	1
SA906-A96180B-R38-C41	1
SA906-A96180B-R38-C42	1
SA906-A96180B-R38-C43	1
SA906-A96180B-R38-C44	1
SA906-A96180B-R38-C47	1
SA906-A96180B-R38-C48	1
SA906-A96180B-R38-C49	1
SA906-A96180B-R38-C56	1
SA906-A96180B-R38-C59	1
SA906-A96180B-R38-C64	1
SA906-A96180B-R38-C68	1
SA906-A96180B-R38-C70	1
SA906-A96180B-R39-C07	1
SA906-A96180B-R39-C08	1
SA906-A96180B-R39-C09	1
SA906-A96180B-R39-C10	1
SA906-A96180B-R39-C11	1
SA906-A96180B-R39-C13	1
SA906-A96180B-R39-C14	1
SA906-A96180B-R39-C15	1
SA906-A96180B-R39-C17	1
SA906-A96180B-R39-C19	1
SA906-A96180B-R39-C20	1
SA906-A96180B-R39-C24	1
SA906-A96180B-R39-C26	1
SA906-A96180B-R39-C27	1
SA906-A96180B-R39-C29	1
SA906-A96180B-R39-C31	1
SA906-A96180B-R39-C34	1
SA906-A96180B-R39-C37	1
SA906-A96180B-R39-C39	1
SA906-A96180B-R39-C40	1
SA906-A96180B-R39-C41	1
SA906-A96180B-R39-C44	1
SA906-A96180B-R39-C46	1
SA906-A96180B-R39-C47	1
SA906-A96180B-R39-C48	1
SA906-A96180B-R39-C54	1
SA906-A96180B-R39-C55	1
SA906-A96180B-R39-C56	1
SA906-A96180B-R39-C57	1
SA906-A96180B-R39-C58	1
SA906-A96180B-R39-C59	1
SA906-A96180B-R39-C61	1
SA906-A96180B-R39-C62	1
SA906-A96180B-R39-C63	1
SA906-A96180B-R39-C66	1
SA906-A96180B-R40-C07	1
SA906-A96180B-R40-C09	1
SA906-A96180B-R40-C10	1
SA906-A96180B-R40-C11	1
SA906-A96180B-R40-C12	1
SA906-A96180B-R40-C13	1
SA906-A96180B-R40-C19	1
SA906-A96180B-R40-C20	1
