Filename,Cell_count,Minimum,Maximum,Lower_Quartile_(Q1),Upper_Quartile_(Q3),Median_RPM,Median_ploidy
HeLa_1_per_Cell_summary_metrics.csv,459,116.59570555297255,1623.7982018405444,228.5982243795075,677.2646542499399,423.2907327121149,2.936013343318129
HeLa_2_per_Cell_summary_metrics.csv,293,204.3623239978598,2074.7902057024658,780.9709420494705,1300.018851461552,1002.9440976645851,2.8992448848140993
JEFF_1_per_Cell_summary_metrics.csv,952,69.56775530875956,754.4020201405768,205.529,378.885,288.523,1.95878
JEFF_2_per_Cell_summary_metrics.csv,503,155.03891371108662,1662.1442682279196,583.4140467036755,1011.5822677245905,805.9548340658077,1.7926689963297668
MCF7_Estrogen_1_per_Cell_summary_metrics.csv,905,72.82200462851266,805.1634524401882,273.59429258576523,505.25669222028006,389.1917045414444,3.6496363822595512
MCF7_Estrogen_2_per_Cell_summary_metrics.csv,608,90.40272229683848,1287.8567017650419,297.445,548.637,430.215,3.73261
MCF7_Ethanol_1_per_Cell_summary_metrics.csv,906,95.83327108704535,1272.7932511824633,357.68312359047775,615.3137851848173,477.617,3.81636
MCF7_Ethanol_2_per_Cell_summary_metrics.csv,415,122.5164964795084,1284.4269496461538,413.7442870957009,763.5187753244224,555.3410463778413,3.8112849756483542
MCF7_Normal_per_Cell_summary_metrics.csv,2321,121.78048566321002,1812.2172946188336,482.8823519718921,821.3582808459724,654.3223584486318,3.7793121381745522
MCF7_unsorted_per_Cell_summary_metrics.csv,447,139.91782567786973,1540.18374648294,513.6892455322213,910.9841927828021,676.9615719252346,3.8269844299620974
