Cell	Phase
SA1089-A96156B-R26-C64.bam	G1
SA1089-A96156B-R26-C65.bam	G1
SA1089-A96156B-R26-C66.bam	G1
SA1089-A96156B-R26-C67.bam	G1
SA1089-A96156B-R26-C68.bam	G1
SA1089-A96156B-R26-C69.bam	G1
SA1089-A96156B-R26-C70.bam	G1
SA1089-A96156B-R27-C44.bam	G1
SA1089-A96156B-R27-C46.bam	G1
SA1089-A96156B-R27-C47.bam	G1
SA1089-A96156B-R27-C48.bam	G1
SA1089-A96156B-R27-C49.bam	G1
SA1089-A96156B-R27-C50.bam	G1
SA1089-A96156B-R27-C51.bam	G1
SA1089-A96156B-R27-C52.bam	G1
SA1089-A96156B-R27-C54.bam	G1
SA1089-A96156B-R27-C55.bam	G1
SA1089-A96156B-R27-C56.bam	G1
SA1089-A96156B-R27-C57.bam	G1
SA1089-A96156B-R27-C58.bam	G1
SA1089-A96156B-R27-C59.bam	G1
SA1089-A96156B-R27-C60.bam	G1
SA1089-A96156B-R27-C61.bam	G1
SA1089-A96156B-R27-C63.bam	G1
SA1089-A96156B-R27-C64.bam	G1
SA1089-A96156B-R27-C65.bam	G1
SA1089-A96156B-R27-C66.bam	G1
SA1089-A96156B-R27-C68.bam	G1
SA1089-A96156B-R27-C69.bam	G1
SA1089-A96156B-R27-C70.bam	G1
SA1089-A96156B-R28-C25.bam	G1
SA1089-A96156B-R28-C31.bam	G1
SA1089-A96156B-R28-C33.bam	G1
SA1089-A96156B-R28-C35.bam	G1
SA1089-A96156B-R28-C36.bam	G1
SA1089-A96156B-R28-C37.bam	G1
SA1089-A96156B-R28-C43.bam	G1
SA1089-A96156B-R28-C44.bam	G1
SA1089-A96156B-R28-C46.bam	G1
SA1089-A96156B-R28-C47.bam	G1
SA1089-A96156B-R28-C48.bam	G1
SA1089-A96156B-R28-C49.bam	G1
SA1089-A96156B-R28-C50.bam	G1
SA1089-A96156B-R28-C52.bam	G1
SA1089-A96156B-R28-C54.bam	G1
SA1089-A96156B-R28-C56.bam	G1
SA1089-A96156B-R28-C57.bam	G1
SA1089-A96156B-R28-C58.bam	G1
SA1089-A96156B-R28-C60.bam	G1
SA1089-A96156B-R28-C62.bam	G1
SA1089-A96156B-R28-C63.bam	G1
SA1089-A96156B-R28-C64.bam	G1
SA1089-A96156B-R28-C65.bam	G1
SA1089-A96156B-R28-C66.bam	G1
SA1089-A96156B-R28-C67.bam	G1
SA1089-A96156B-R28-C68.bam	G1
SA1089-A96156B-R28-C69.bam	G1
SA1089-A96156B-R28-C70.bam	G1
SA1089-A96156B-R29-C27.bam	G1
SA1089-A96156B-R29-C28.bam	G1
SA1089-A96156B-R29-C29.bam	G1
SA1089-A96156B-R29-C30.bam	G1
SA1089-A96156B-R29-C31.bam	G1
SA1089-A96156B-R29-C33.bam	G1
SA1089-A96156B-R29-C34.bam	G1
SA1089-A96156B-R29-C35.bam	G1
SA1089-A96156B-R29-C36.bam	G1
SA1089-A96156B-R29-C37.bam	G1
SA1089-A96156B-R29-C39.bam	G1
SA1089-A96156B-R29-C40.bam	G1
SA1089-A96156B-R29-C41.bam	G1
SA1089-A96156B-R29-C43.bam	G1
SA1089-A96156B-R29-C44.bam	G1
SA1089-A96156B-R29-C46.bam	G1
SA1089-A96156B-R29-C47.bam	G1
SA1089-A96156B-R29-C48.bam	G1
SA1089-A96156B-R29-C50.bam	G1
SA1089-A96156B-R29-C51.bam	G1
SA1089-A96156B-R29-C52.bam	G1
SA1089-A96156B-R29-C54.bam	G1
SA1089-A96156B-R29-C57.bam	G1
SA1089-A96156B-R29-C58.bam	G1
SA1089-A96156B-R29-C59.bam	G1
SA1089-A96156B-R29-C60.bam	G1
SA1089-A96156B-R29-C61.bam	G1
SA1089-A96156B-R29-C63.bam	G1
SA1089-A96156B-R29-C64.bam	G1
SA1089-A96156B-R29-C65.bam	G1
SA1089-A96156B-R29-C66.bam	G1
SA1089-A96156B-R29-C67.bam	G1
SA1089-A96156B-R29-C69.bam	G1
SA1089-A96156B-R29-C70.bam	G1
SA1089-A96156B-R30-C19.bam	G1
SA1089-A96156B-R30-C21.bam	G1
SA1089-A96156B-R30-C23.bam	G1
SA1089-A96156B-R30-C24.bam	G1
SA1089-A96156B-R30-C25.bam	G1
SA1089-A96156B-R30-C29.bam	G1
SA1089-A96156B-R30-C30.bam	G1
SA1089-A96156B-R30-C31.bam	G1
SA1089-A96156B-R30-C32.bam	G1
SA1089-A96156B-R30-C34.bam	G1
SA1089-A96156B-R30-C36.bam	G1
SA1089-A96156B-R30-C37.bam	G1
SA1089-A96156B-R30-C39.bam	G1
SA1089-A96156B-R30-C40.bam	G1
SA1089-A96156B-R30-C41.bam	G1
SA1089-A96156B-R30-C42.bam	G1
SA1089-A96156B-R30-C43.bam	G1
SA1089-A96156B-R30-C44.bam	G1
SA1089-A96156B-R30-C46.bam	G1
SA1089-A96156B-R30-C48.bam	G1
SA1089-A96156B-R30-C49.bam	G1
SA1089-A96156B-R30-C50.bam	G1
SA1089-A96156B-R30-C51.bam	G1
SA1089-A96156B-R30-C52.bam	G1
SA1089-A96156B-R30-C54.bam	G1
SA1089-A96156B-R30-C55.bam	G1
SA1089-A96156B-R30-C56.bam	G1
SA1089-A96156B-R30-C57.bam	G1
SA1089-A96156B-R30-C58.bam	G1
SA1089-A96156B-R30-C59.bam	G1
SA1089-A96156B-R30-C60.bam	G1
SA1089-A96156B-R30-C64.bam	G1
SA1089-A96156B-R30-C65.bam	G1
