Cell	Phase	Subpopulation
SA611X3XB00821-A96176A-R33-C11.bam	G1	1
SA611X3XB00821-A96176A-R33-C20.bam	G1	2
SA611X3XB00821-A96176A-R33-C24.bam	S	2
SA611X3XB00821-A96176A-R33-C31.bam	S	2
SA611X3XB00821-A96176A-R33-C43.bam	G1	2
SA611X3XB00821-A96176A-R34-C25.bam	G1	2
SA611X3XB00821-A96176A-R35-C09.bam	S	2
SA611X3XB00821-A96176A-R35-C19.bam	G1	1
SA611X3XB00821-A96176A-R35-C22.bam	G1	1
SA611X3XB00821-A96176A-R35-C30.bam	G1	2
SA611X3XB00821-A96176A-R35-C41.bam	G1	2
SA611X3XB00821-A96176A-R36-C07.bam	G1	2
SA611X3XB00821-A96176A-R36-C19.bam	G1	2
SA611X3XB00821-A96176A-R37-C31.bam	G1	2
SA611X3XB00821-A96176A-R37-C43.bam	G1	1
SA611X3XB00821-A96176A-R37-C68.bam	G1	2
SA611X3XB00821-A96176A-R38-C09.bam	G1	1
SA611X3XB00821-A96176A-R38-C15.bam	G1	2
SA611X3XB00821-A96176A-R38-C32.bam	S	2
SA611X3XB00821-A96176A-R38-C43.bam	S	1
SA611X3XB00821-A96176A-R38-C50.bam	G1	2
SA611X3XB00821-A96176A-R38-C56.bam	G1	2
SA611X3XB00821-A96176A-R38-C60.bam	S	1
SA611X3XB00821-A96176A-R38-C64.bam	G1	2
SA611X3XB00821-A96176A-R39-C08.bam	G1	2
SA611X3XB00821-A96176A-R39-C10.bam	G1	2
SA611X3XB00821-A96176A-R39-C15.bam	S	1
SA611X3XB00821-A96176A-R39-C22.bam	G1	2
SA611X3XB00821-A96176A-R39-C28.bam	G1	2
SA611X3XB00821-A96176A-R39-C43.bam	S	2
SA611X3XB00821-A96176A-R39-C56.bam	G1	2
SA611X3XB00821-A96176A-R39-C67.bam	G1	2
SA611X3XB00821-A96176A-R40-C09.bam	G1	2
SA611X3XB00821-A96176A-R40-C16.bam	G1	1
SA611X3XB00821-A96176A-R40-C41.bam	S	2
SA611X3XB00821-A96176A-R40-C44.bam	S	1
SA611X3XB00821-A96176A-R40-C48.bam	G1	2
SA611X3XB00821-A96176A-R40-C49.bam	S	1
SA611X3XB00821-A96176A-R40-C56.bam	G1	2
SA611X3XB00821-A96176A-R40-C64.bam	S	2
SA611X3XB00821-A96176A-R41-C26.bam	G1	2
SA611X3XB00821-A96176A-R41-C28.bam	S	2
SA611X3XB00821-A96176A-R42-C06.bam	G1	2
SA611X3XB00821-A96176A-R42-C17.bam	G1	1
SA611X3XB00821-A96176A-R42-C21.bam	G1	2
SA611X3XB00821-A96176A-R42-C23.bam	G1	2
SA611X3XB00821-A96176A-R42-C40.bam	G1	1
SA611X3XB00821-A96176A-R42-C51.bam	G1	2
SA611X3XB00821-A96176A-R43-C17.bam	G1	2
SA611X3XB00821-A96176A-R43-C48.bam	G1	2
SA611X3XB00821-A96176A-R44-C14.bam	S	2
SA611X3XB00821-A96176A-R44-C35.bam	G1	2
SA611X3XB00821-A96176A-R44-C54.bam	S	2
SA611X3XB00821-A96176A-R45-C16.bam	S	2
SA611X3XB00821-A96176A-R45-C35.bam	G1	2
SA611X3XB00821-A96176A-R45-C57.bam	G1	2
SA611X3XB00821-A96176A-R46-C07.bam	G1	2
SA611X3XB00821-A96176A-R46-C35.bam	G1	2
SA611X3XB00821-A96176A-R46-C37.bam	S	2
SA611X3XB00821-A96176A-R47-C29.bam	G1	2
SA611X3XB00821-A96176A-R47-C35.bam	S	1
SA611X3XB00821-A96176A-R47-C42.bam	G1	2
SA611X3XB00821-A96176A-R48-C10.bam	G1	2
SA611X3XB00821-A96176A-R48-C12.bam	G1	1
SA611X3XB00821-A96176A-R48-C25.bam	G1	2
SA611X3XB00821-A96176A-R48-C26.bam	S	1
SA611X3XB00821-A96176A-R48-C32.bam	S	1
SA611X3XB00821-A96176A-R48-C62.bam	G1	2
SA611X3XB00821-A96176A-R51-C16.bam	G1	2
SA611X3XB00821-A96176A-R51-C35.bam	G1	2
SA611X3XB00821-A96176A-R52-C13.bam	S	1
SA611X3XB00821-A96176A-R53-C21.bam	G1	2
SA611X3XB00821-A96176A-R53-C64.bam	G1	2
SA611X3XB00821-A96176A-R54-C42.bam	S	1
SA611X3XB00821-A96176A-R54-C43.bam	G1	2
SA611X3XB00821-A96176A-R54-C66.bam	S	2
SA611X3XB00821-A96176A-R69-C07.bam	S	2
SA611X3XB00821-A96176A-R69-C09.bam	G1	1
SA611X3XB00821-A96176A-R69-C47.bam	G1	1
SA611X3XB00821-A96176A-R70-C16.bam	G1	1
