Filename,Cell_count,Minimum,Maximum,Lower_Quartile_(Q1),Upper_Quartile_(Q3),Median_RPM,Median_ploidy
184-hTERT_SA039_A73044B_per_Cell_summary_metrics.csv,1606,64.89523613621856,466.35594632198575,184.24167283061425,292.483509905944,241.263,2.00099
184-hTERT_SA039_A73047D_per_Cell_summary_metrics.csv,1611,64.84698905675157,1884.9434527002172,434.84056544706743,831.1644187961617,620.8528089523494,2.017316607581129
184-hTERT_SA039_A96199B_per_Cell_summary_metrics.csv,990,64.77607556411218,471.76447631082516,166.39057723373182,267.81694767402047,221.101,2.00119
184-hTERT_SA039_A96226B_per_Cell_summary_metrics.csv,1078,66.99414599598369,358.3206974124274,152.56406519856196,225.97701559906957,192.351,2.00064
184-hTERT_SA1101_A96193B_per_Cell_summary_metrics.csv,1810,64.891350465389,317.17694802777197,89.34420080168694,147.76105224732837,112.268,2.05259
184-hTERT_SA1101_A96225C_per_Cell_summary_metrics.csv,978,78.50350299312835,817.9657664058676,408.35745210232653,535.3638412253869,467.231,2.06545
184-hTERT_SA906_A73046B_per_Cell_summary_metrics.csv,1783,64.82820831440871,983.445477635971,368.7482188894432,533.9038004111811,448.21860630732607,1.9945240889070286
184-hTERT_SA906_A73056B_per_Cell_summary_metrics.csv,876,67.93318311312636,1217.7171052325327,493.665,753.036,627.271,1.99247
184-hTERT_SA906_A90554C_per_Cell_summary_metrics.csv,1601,71.60287540573948,1022.4491938112485,383.80325051855766,641.4335883069948,510.3113023577274,1.9934365662430087
184-hTERT_SA906_A90600C_per_Cell_summary_metrics.csv,1297,69.40585235752806,1181.3209979897897,523.12980661853,774.044733795787,655.134463652009,1.9926302067802097
184-hTERT_SA906_A95660A_per_Cell_summary_metrics.csv,1356,64.77478034050232,651.0237477202413,184.707,302.812,241.128,1.99224
184-hTERT_SA906_A96146A_per_Cell_summary_metrics.csv,1066,65.20770883209535,453.34995844365716,132.08981798582684,254.84852128037755,194.994,2.06676
184-hTERT_SA906_A96172B_per_Cell_summary_metrics.csv,1422,65.06879609993872,330.24024955083655,106.46284744719807,150.7604663218431,127.609,2.01689
184-hTERT_SA906_A96211C_per_Cell_summary_metrics.csv,1294,65.86535861999768,907.6321540805052,284.9721843865099,395.35696892433975,339.465,2.0163
ERpos-PDX_SA532X2XB00147_A96165A_per_Cell_summary_metrics.csv,441,64.96809246427273,1407.732884915867,83.58369379687028,688.8267916091861,113.65360512319378,1.449358788766456
ERpos-PDX_SA532X4XB00273_A95732B_per_Cell_summary_metrics.csv,498,65.5344289876805,661.7809036059645,328.32008054923097,453.8971904188196,382.492,2.83391
ERpos-PDX_SA532X8XB01398_A96145A_per_Cell_summary_metrics.csv,371,64.92858814417224,1022.4634412709569,91.52147168984811,738.7608998280044,382.6770535897914,2.20807804210166
ERpos-PDX_SA611X3XB00821_A96176A_per_Cell_summary_metrics.csv,436,67.64920533666633,723.5034895098506,265.918,405.345,334.183,1.94175
ERpos-PDX_SA995X5XB01910_A95664A_per_Cell_summary_metrics.csv,152,111.871053630135,796.7817366549336,415.74,597.115,498.004,2.85998
FNA-sample_SA1135_A96199A_per_Cell_summary_metrics.csv,473,65.62930411710217,2446.889168070596,564.7022750180464,1188.5447838678365,851.6357517557747,3.6264042304176596
FNA-sample_SA1137_A96226B_per_Cell_summary_metrics.csv,37,66.86073796416893,255.1629368116691,81.70885762160954,138.1582644038858,105.53514353664158,2.0000934396846834
GM18507_SA928_A73044A_per_Cell_summary_metrics.csv,975,66.4103239538429,1789.3799119299235,637.6774398384241,1095.654260822375,877.3922446553886,1.9461543705370077
GM18507_SA928_A75616A_per_Cell_summary_metrics.csv,171,131.50340549646634,1315.388946233763,612.648214995742,918.7053445270323,795.2073923571585,1.941175478255002
GM18507_SA928_A75616B_per_Cell_summary_metrics.csv,184,87.2575955662154,1294.8305094863874,598.125,944.309,833.771,1.94176
GM18507_SA928_A75616C_per_Cell_summary_metrics.csv,172,73.68494735857654,1906.0857114897335,527.012,1176.19,972.259,1.94278
GM18507_SA928_A75617A_per_Cell_summary_metrics.csv,209,217.3430550157963,1016.6682870345767,596.8293252427173,770.6619335327562,701.6300769925729,1.9415078539345803
GM18507_SA928_A90553A_per_Cell_summary_metrics.csv,424,69.55415546085612,708.9565093417006,288.805,433.015,358.952,1.94183
GM18507_SA928_A90553C_per_Cell_summary_metrics.csv,1467,65.49168660855538,1116.1612124312587,396.6709732765346,619.9357906365741,496.2344883599537,1.9412553444480987
GM18507_SA928_A90560A_per_Cell_summary_metrics.csv,242,66.8960328075374,458.62605181838916,120.7297355097176,251.47381616490821,161.618,1.94076
GM18507_SA928_A90648B_per_Cell_summary_metrics.csv,311,67.84899357848599,988.8630741900794,177.43106328411008,475.3208365375762,284.43725703564104,2.00062050031025
GM18507_SA928_A90682_per_Cell_summary_metrics.csv,413,65.01795857325203,346.08374855244836,171.04107760490535,278.8600241716184,229.79144913008366,1.9435455326894877
GM18507_SA928_A90685_per_Cell_summary_metrics.csv,289,64.89426471851117,574.7334580704476,107.54921624996142,250.26278208969663,174.47989628906234,1.9568152974024875
GM18507_SA928_A90689A_per_Cell_summary_metrics.csv,185,65.36799275381452,1192.2442663034763,428.70411978949124,737.693311767584,591.696354076874,1.9415019896420334
GM18507_SA928_A90689B_per_Cell_summary_metrics.csv,633,67.3299327168378,2133.1452102207368,746.2534446050956,1263.8659224515586,1034.7946176485527,1.94146263185899
GM18507_SA928_A90689C_per_Cell_summary_metrics.csv,672,66.51782751346062,3236.194874049464,1140.54,2017.67,1655.02,1.94239
