Cell	Phase	Subpopulation
SA1101-A96193B-R31-C37.bam	G1	2
SA1101-A96193B-R31-C38.bam	G1	2
SA1101-A96193B-R31-C39.bam	G1	1
SA1101-A96193B-R31-C40.bam	G1	1
SA1101-A96193B-R31-C41.bam	G1	2
SA1101-A96193B-R31-C42.bam	G1	1
SA1101-A96193B-R31-C43.bam	G1	1
SA1101-A96193B-R31-C44.bam	G1	1
SA1101-A96193B-R31-C46.bam	G1	1
SA1101-A96193B-R31-C48.bam	G1	1
SA1101-A96193B-R31-C49.bam	G1	2
SA1101-A96193B-R31-C50.bam	S	1
SA1101-A96193B-R31-C51.bam	G1	1
SA1101-A96193B-R31-C52.bam	G1	1
SA1101-A96193B-R31-C54.bam	G1	1
SA1101-A96193B-R31-C55.bam	S	1
SA1101-A96193B-R31-C56.bam	S	1
SA1101-A96193B-R31-C57.bam	G1	1
SA1101-A96193B-R31-C58.bam	S	1
SA1101-A96193B-R31-C59.bam	S	1
SA1101-A96193B-R31-C60.bam	S	1
SA1101-A96193B-R31-C61.bam	S	1
SA1101-A96193B-R31-C62.bam	G1	1
SA1101-A96193B-R31-C63.bam	G1	1
SA1101-A96193B-R31-C64.bam	G1	2
SA1101-A96193B-R32-C07.bam	G1	1
SA1101-A96193B-R32-C08.bam	S	1
SA1101-A96193B-R32-C09.bam	G1	2
SA1101-A96193B-R32-C11.bam	G1	1
SA1101-A96193B-R32-C13.bam	G1	1
SA1101-A96193B-R32-C14.bam	S	1
SA1101-A96193B-R32-C15.bam	S	1
SA1101-A96193B-R32-C16.bam	G1	1
SA1101-A96193B-R32-C17.bam	G1	2
SA1101-A96193B-R32-C18.bam	S	1
SA1101-A96193B-R32-C20.bam	G1	1
SA1101-A96193B-R32-C22.bam	G1	1
SA1101-A96193B-R32-C24.bam	G1	1
SA1101-A96193B-R32-C25.bam	S	1
SA1101-A96193B-R32-C30.bam	G1	1
SA1101-A96193B-R32-C36.bam	G1	1
SA1101-A96193B-R32-C37.bam	G1	1
SA1101-A96193B-R32-C38.bam	S	1
SA1101-A96193B-R32-C39.bam	G1	1
SA1101-A96193B-R32-C40.bam	S	1
SA1101-A96193B-R32-C41.bam	S	1
SA1101-A96193B-R32-C42.bam	S	1
SA1101-A96193B-R32-C43.bam	G1	1
SA1101-A96193B-R32-C45.bam	S	1
SA1101-A96193B-R32-C47.bam	G1	2
SA1101-A96193B-R32-C48.bam	S	1
SA1101-A96193B-R32-C49.bam	G1	1
SA1101-A96193B-R32-C50.bam	G1	2
SA1101-A96193B-R32-C54.bam	S	1
SA1101-A96193B-R32-C56.bam	S	1
SA1101-A96193B-R32-C57.bam	G1	1
SA1101-A96193B-R32-C58.bam	S	1
SA1101-A96193B-R32-C60.bam	G1	1
SA1101-A96193B-R32-C61.bam	G1	1
SA1101-A96193B-R32-C62.bam	S	1
SA1101-A96193B-R32-C63.bam	G1	1
SA1101-A96193B-R33-C07.bam	S	1
SA1101-A96193B-R33-C09.bam	G1	1
SA1101-A96193B-R33-C11.bam	S	1
SA1101-A96193B-R33-C12.bam	S	1
SA1101-A96193B-R33-C13.bam	S	1
SA1101-A96193B-R33-C14.bam	G1	1
SA1101-A96193B-R33-C15.bam	G1	2
SA1101-A96193B-R33-C16.bam	S	2
SA1101-A96193B-R33-C19.bam	G1	2
