Cell	Phase	Subpopulation
SA1088-A96156A-R08-C47.bam	G1	2
SA1088-A96156A-R08-C50.bam	G1	2
SA1088-A96156A-R08-C56.bam	G1	2
SA1088-A96156A-R08-C61.bam	G1	1
SA1088-A96156A-R08-C66.bam	G1	1
SA1088-A96156A-R08-C70.bam	G1	2
SA1088-A96156A-R09-C24.bam	G1	1
SA1088-A96156A-R09-C61.bam	G1	1
SA1088-A96156A-R10-C08.bam	G1	2
SA1088-A96156A-R10-C13.bam	G1	2
SA1088-A96156A-R10-C14.bam	G1	2
SA1088-A96156A-R10-C15.bam	G1	1
SA1088-A96156A-R10-C16.bam	G1	2
SA1088-A96156A-R10-C17.bam	G1	2
SA1088-A96156A-R10-C18.bam	G1	2
SA1088-A96156A-R10-C21.bam	G1	1
SA1088-A96156A-R10-C28.bam	G1	2
SA1088-A96156A-R10-C34.bam	G1	1
SA1088-A96156A-R10-C39.bam	G1	2
SA1088-A96156A-R10-C44.bam	G1	2
SA1088-A96156A-R10-C46.bam	G1	2
SA1088-A96156A-R10-C47.bam	G1	2
SA1088-A96156A-R10-C50.bam	G1	2
SA1088-A96156A-R10-C51.bam	G1	2
SA1088-A96156A-R10-C55.bam	G1	2
SA1088-A96156A-R10-C58.bam	G1	1
SA1088-A96156A-R10-C60.bam	G1	2
SA1088-A96156A-R10-C61.bam	G1	2
SA1088-A96156A-R10-C64.bam	G1	2
SA1088-A96156A-R10-C66.bam	G1	2
SA1088-A96156A-R10-C67.bam	G1	2
SA1088-A96156A-R10-C70.bam	G1	2
SA1088-A96156A-R11-C59.bam	G1	1
SA1088-A96156A-R11-C61.bam	G1	2
SA1088-A96156A-R11-C63.bam	G1	1
SA1088-A96156A-R12-C14.bam	G1	2
SA1088-A96156A-R12-C15.bam	G1	2
SA1088-A96156A-R12-C47.bam	G1	2
SA1088-A96156A-R12-C50.bam	G1	2
SA1088-A96156A-R12-C54.bam	G1	1
SA1088-A96156A-R12-C55.bam	G1	1
SA1088-A96156A-R12-C57.bam	G1	2
SA1088-A96156A-R13-C07.bam	G1	2
SA1088-A96156A-R13-C09.bam	G1	2
SA1088-A96156A-R13-C13.bam	G1	2
SA1088-A96156A-R13-C14.bam	G1	1
SA1088-A96156A-R13-C16.bam	G1	1
SA1088-A96156A-R13-C17.bam	G1	2
SA1088-A96156A-R13-C18.bam	G1	2
SA1088-A96156A-R13-C19.bam	G1	2
SA1088-A96156A-R13-C20.bam	G1	2
SA1088-A96156A-R13-C21.bam	G1	2
SA1088-A96156A-R13-C22.bam	G1	2
SA1088-A96156A-R13-C24.bam	G1	1
SA1088-A96156A-R13-C27.bam	G1	1
SA1088-A96156A-R13-C29.bam	G1	2
SA1088-A96156A-R13-C30.bam	G1	1
SA1088-A96156A-R13-C34.bam	S	2
SA1088-A96156A-R13-C35.bam	G1	2
SA1088-A96156A-R13-C37.bam	G1	1
SA1088-A96156A-R13-C40.bam	G1	1
SA1088-A96156A-R13-C41.bam	G1	2
SA1088-A96156A-R13-C44.bam	G1	1
SA1088-A96156A-R13-C46.bam	G1	1
SA1088-A96156A-R13-C47.bam	G1	2
SA1088-A96156A-R13-C48.bam	G1	1
SA1088-A96156A-R13-C51.bam	G1	2
SA1088-A96156A-R13-C54.bam	G1	2
SA1088-A96156A-R13-C55.bam	G1	1
SA1088-A96156A-R13-C56.bam	G1	2
SA1088-A96156A-R13-C60.bam	G1	1
SA1088-A96156A-R13-C61.bam	G1	2
SA1088-A96156A-R13-C63.bam	G1	2
SA1088-A96156A-R13-C66.bam	G1	2
SA1088-A96156A-R13-C67.bam	G1	1
SA1088-A96156A-R13-C69.bam	G1	1
SA1088-A96156A-R14-C07.bam	G1	2
SA1088-A96156A-R14-C08.bam	G1	2
SA1088-A96156A-R14-C09.bam	G1	1
SA1088-A96156A-R14-C13.bam	G1	2
SA1088-A96156A-R14-C15.bam	G1	2
SA1088-A96156A-R14-C16.bam	G1	1
SA1088-A96156A-R14-C19.bam	G1	2
SA1088-A96156A-R14-C22.bam	G1	1
SA1088-A96156A-R14-C23.bam	G1	1
SA1088-A96156A-R14-C24.bam	G1	2
SA1088-A96156A-R14-C25.bam	G1	2
SA1088-A96156A-R14-C27.bam	G1	2
SA1088-A96156A-R14-C29.bam	G1	1
SA1088-A96156A-R14-C37.bam	G1	1
SA1088-A96156A-R14-C40.bam	G1	1
SA1088-A96156A-R14-C43.bam	G1	2
SA1088-A96156A-R14-C44.bam	G1	1
SA1088-A96156A-R14-C46.bam	G1	2
SA1088-A96156A-R14-C48.bam	G1	2
